track,time,event,note,velocity
1,0.476,Note_on,40,112
1,0.595,Note_off,40,63
1,0.953,Note_on,40,112
1,1.278,Note_on,41,112
1,2.057,Note_off,41,63
1,2.063,Note_off,40,63
1,2.201,Note_on,40,112
1,2.203,Note_on,41,112
1,3.017,Note_off,41,63
1,3.91,Note_on,41,112
1,4.744,Note_off,41,63
1,4.752,Note_off,40,63
1,5.625,Note_on,36,112
1,6.164,Note_on,41,112
1,6.413,Note_off,41,63
1,6.89,Note_off,36,63
1,7.003,Note_on,36,112
1,7.38,Note_on,41,112
1,7.712,Note_off,41,63
1,7.829,Note_off,36,63
1,7.999,Note_on,36,112
1,8.282,Note_on,41,112
1,8.482,Note_off,41,63
1,8.611,Note_off,36,63
1,8.809,Note_on,40,112
1,8.846,Note_on,36,112
1,8.912,Note_off,40,63
1,8.996,Note_off,36,63
1,9.01,Note_on,41,112
1,9.038,Note_on,40,112
1,9.074,Note_off,41,63
1,9.117,Note_on,38,112
1,9.122,Note_off,40,63
1,9.248,Note_off,38,63
1,9.284,Note_on,40,112
1,9.294,Note_on,41,112
1,9.318,Note_off,41,63
1,9.35,Note_on,38,112
1,9.356,Note_off,40,63
1,9.439,Note_off,38,63
1,9.459,Note_on,41,112
1,9.467,Note_on,40,112
1,9.515,Note_off,40,63
1,9.529,Note_on,38,112
1,9.531,Note_off,41,63
1,9.603,Note_off,38,63
1,9.606,Note_on,41,112
1,9.696,Note_off,41,63
1,9.698,Note_on,38,112
1,9.782,Note_off,38,63
1,10.221,Note_on,40,112
1,10.578,Note_off,40,63
1,11.326,Note_on,43,112
1,11.948,Note_on,45,112
1,12.343,Note_on,47,112
1,12.429,Note_off,43,63
1,12.462,Note_off,45,63
1,12.734,Note_off,47,63
1,12.824,Note_on,43,112
1,12.936,Note_off,43,63
1,12.982,Note_on,43,112
1,13.211,Note_off,43,63
1,13.235,Note_on,45,112
1,13.244,Note_off,45,63
1,13.259,Note_on,47,112
1,13.562,Note_off,47,63
1,14.33,Note_on,55,112
1,15.319,Note_off,55,63
1,15.7,Note_on,55,112
1,16.173,Note_off,55,63
1,16.388,Note_on,53,112
1,17.268,Note_off,53,63
1,17.369,Note_on,59,112
1,17.758,Note_off,59,63
1,17.858,Note_on,53,112
1,17.945,Note_off,53,63
1,18.207,Note_on,59,112
1,18.572,Note_off,59,63
1,19.148,Note_on,56,112
1,19.266,Note_off,56,63
1,19.487,Note_on,54,112
1,19.793,Note_off,54,63
1,20.035,Note_on,59,112
1,20.09,Note_on,60,112
1,20.31,Note_off,59,63
1,20.325,Note_off,60,63
1,20.331,Note_on,57,112
1,20.566,Note_off,57,63
1,20.586,Note_on,62,112
1,20.627,Note_on,60,112
1,20.684,Note_off,60,63
1,20.695,Note_on,60,112
1,20.718,Note_off,60,63
1,20.741,Note_on,57,112
1,20.756,Note_off,62,63
1,20.92,Note_off,57,63
1,20.96,Note_on,62,112
1,21.039,Note_off,62,63
1,21.128,Note_on,59,112
1,21.213,Note_off,59,63
1,21.295,Note_on,64,112
1,21.339,Note_on,62,112
1,21.383,Note_off,62,63
1,21.424,Note_on,62,112
1,21.442,Note_off,62,63
1,21.504,Note_off,64,63
1,21.67,Note_on,65,112
1,21.916,Note_off,65,63
1,23.774,Note_on,40,112
1,23.786,Note_on,38,112
1,23.81,Note_off,40,63
1,23.928,Note_off,38,63
1,24.149,Note_on,38,112
1,24.333,Note_off,38,63
1,24.432,Note_on,38,112
1,24.57,Note_off,38,63
1,24.658,Note_on,38,112
1,24.721,Note_off,38,63
1,24.765,Note_on,38,112
1,25.158,Note_on,40,112
1,25.618,Note_off,38,63
1,25.629,Note_off,40,63
1,25.954,Note_on,40,112
1,25.964,Note_on,38,112
1,25.993,Note_off,40,63
1,26.311,Note_off,38,63
1,26.499,Note_on,38,112
1,27.001,Note_on,40,112
1,28.693,Note_off,38,63
1,28.694,Note_off,40,63
1,28.986,Note_on,40,112
1,29.379,Note_on,38,112
1,29.918,Note_off,38,63
1,29.987,Note_off,40,63
1,30.44,Note_on,40,112
1,31.147,Note_off,40,63
1,32.032,Note_on,40,112
1,32.36,Note_on,41,112
1,32.708,Note_off,40,63
1,32.743,Note_off,41,63
1,33.082,Note_on,40,112
