track,start,end,event,channel,note,velocity
1,0.0,0.631579,Note_on,1,60,77
1,0.631579,1.263158,Note_on,1,60,83
1,1.263158,1.8947370000000001,Note_on,1,67,90
1,1.8947370000000001,2.526316,Note_on,1,67,87
1,2.526316,3.157895,Note_on,1,69,86
1,2.526316,3.7894740000000002,Note_on,1,60,73
1,3.7894740000000002,5.052632,Note_on,1,60,75
1,3.7894740000000002,5.052632,Note_on,1,67,81
1,5.052632,5.684211,Note_on,1,65,80
1,5.052632,6.31579,Note_on,1,57,70
1,5.684211,6.31579,Note_on,1,65,85
1,6.31579,6.947369,Note_on,1,64,82
1,6.947369,7.5789480000000005,Note_on,1,64,84
1,7.5789480000000005,8.210527,Note_on,1,62,81
1,8.210527,8.842106,Note_on,1,62,83
1,8.842106,9.473685,Note_on,1,60,81
1,9.473685,10.105264,Note_on,1,67,80
1,10.105264,10.736843,Note_on,1,67,94
1,10.736843,11.368422,Note_on,1,67,83
1,11.368422,12.000001,Note_on,1,65,81
1,11.368422,12.63158,Note_on,1,57,71
1,12.000001,12.63158,Note_on,1,65,84
1,12.63158,13.263159,Note_on,1,64,82
1,13.263159,13.894738,Note_on,1,64,84
1,13.894738,15.157896000000001,Note_on,1,62,82
1,15.157896000000001,15.789475,Note_on,1,67,90
1,15.789475,16.421054,Note_on,1,67,84
1,16.421054,17.052633,Note_on,1,65,84
1,16.421054,17.684212,Note_on,1,57,71
1,17.052633,17.684212,Note_on,1,65,85
1,17.684212,18.315791,Note_on,1,64,82
1,18.315791,18.94737,Note_on,1,64,82
1,18.94737,19.10526475,Note_on,1,62,83
1,19.10526475,19.2631595,Note_on,1,62,80
1,19.2631595,19.42105425,Note_on,1,62,80
1,19.42105425,19.578949,Note_on,1,62,80
1,19.578949,19.73684375,Note_on,1,64,80
1,19.73684375,19.8947385,Note_on,1,62,80
1,19.8947385,20.05263325,Note_on,1,62,80
1,20.05263325,20.210528,Note_on,1,60,80
1,20.210528,20.842107,Note_on,1,60,82
1,20.842107,21.473686,Note_on,1,60,83
1,21.473686,22.105265,Note_on,1,67,90
1,22.105265,22.736844,Note_on,1,67,83
1,22.736844,23.368423,Note_on,1,69,87
1,22.736844,24.000002,Note_on,1,60,69
1,24.000002,25.26316,Note_on,1,60,72
1,24.000002,25.26316,Note_on,1,67,79
1,25.26316,25.894739,Note_on,1,65,81
1,25.26316,26.526318,Note_on,1,57,69
1,25.894739,26.526318,Note_on,1,65,83
1,26.526318,27.157897,Note_on,1,64,81
1,27.157897,27.789476,Note_on,1,64,84
1,27.789476,28.421055,Note_on,1,62,82
1,28.421055,29.052634,Note_on,1,62,83
1,29.052634,30.315792000000002,Note_on,1,61,80
2,0.0,1.263158,Note_on,1,48,64
2,0.0,1.263158,Note_on,1,51,63
2,1.263158,2.526316,Note_on,1,49,71
2,1.263158,2.526316,Note_on,1,60,77
2,2.526316,3.7894740000000002,Note_on,1,41,66
2,3.157895,3.7894740000000002,Note_on,1,69,83
2,3.7894740000000002,5.052632,Note_on,1,48,71
2,5.052632,6.31579,Note_on,1,41,68
2,6.31579,7.5789480000000005,Note_on,1,48,76
2,6.31579,7.5789480000000005,Note_on,1,55,69
2,7.5789480000000005,8.842106,Note_on,1,43,69
2,7.5789480000000005,8.842106,Note_on,1,55,71
2,8.842106,10.105264,Note_on,1,48,75
2,8.842106,10.105264,Note_on,1,52,71
2,10.105264,11.368422,Note_on,1,48,72
2,10.105264,11.368422,Note_on,1,60,80
2,11.368422,12.63158,Note_on,1,41,68
2,12.63158,13.894738,Note_on,1,44,73
2,12.63158,13.894738,Note_on,1,54,70
2,13.894738,15.157896000000001,Note_on,1,43,72
2,13.894738,15.157896000000001,Note_on,1,55,67
2,15.157896000000001,16.421054,Note_on,1,48,73
2,15.157896000000001,16.421054,Note_on,1,60,76
2,16.421054,17.684212,Note_on,1,41,68
2,17.684212,18.94737,Note_on,1,43,73
2,17.684212,18.94737,Note_on,1,55,70
2,18.94737,20.210528,Note_on,1,43,69
2,18.94737,20.210528,Note_on,1,55,70
2,20.210528,21.473686,Note_on,1,48,73
2,20.210528,21.473686,Note_on,1,52,69
2,21.473686,22.736844,Note_on,1,48,72
2,21.473686,22.736844,Note_on,1,60,80
2,22.736844,24.000002,Note_on,1,41,68
2,23.368423,24.000002,Note_on,1,69,81
2,24.000002,25.26316,Note_on,1,48,73
2,25.26316,26.526318,Note_on,1,41,68
2,26.526318,27.789476,Note_on,1,48,75
2,26.526318,27.789476,Note_on,1,55,70
2,27.789476,29.052634,Note_on,1,44,69
2,27.789476,29.052634,Note_on,1,54,71
2,29.052634,30.315792000000002,Note_on,1,47,74
2,29.052634,30.315792000000002,Note_on,1,51,70
