track,time,event,note,velocity
1,0,Note_on,64,112
1,0,Note_off,64,63
1,4,Note_on,64,112
1,5,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,9,Note_off,64,63
1,9,Note_on,64,112
1,9,Note_off,64,63
1,9,Note_on,64,112
1,9,Note_off,64,63
1,9,Note_on,64,112
1,9,Note_off,64,63
1,9,Note_on,64,112
1,9,Note_off,64,63
1,9,Note_on,64,112
1,9,Note_off,64,63
1,9,Note_on,64,112
1,9,Note_off,64,63
1,9,Note_on,45,112
1,10,Note_off,45,63
1,10,Note_on,47,112
1,10,Note_on,48,112
1,10,Note_on,50,112
1,10,Note_off,50,63
1,11,Note_off,47,63
1,11,Note_off,48,63
1,11,Note_on,45,112
1,11,Note_off,45,63
1,12,Note_on,48,112
1,12,Note_on,47,112
1,12,Note_off,47,63
1,12,Note_off,48,63
1,12,Note_on,45,112
1,13,Note_off,45,63
1,13,Note_on,48,112
1,13,Note_on,47,112
1,14,Note_off,47,63
1,14,Note_off,48,63
1,14,Note_on,45,112
1,15,Note_off,45,63
1,15,Note_on,50,112
1,15,Note_on,47,112
1,15,Note_off,47,63
1,15,Note_off,50,63
1,16,Note_on,64,112
1,16,Note_off,64,63
1,16,Note_on,64,112
1,16,Note_off,64,63
1,16,Note_on,64,112
1,16,Note_off,64,63
1,17,Note_on,64,112
1,17,Note_off,64,63
1,17,Note_on,64,112
1,17,Note_off,64,63
1,17,Note_on,64,112
1,17,Note_off,64,63
1,18,Note_on,64,112
1,18,Note_off,64,63
1,18,Note_on,64,112
1,18,Note_off,64,63
1,18,Note_on,64,112
1,18,Note_off,64,63
1,19,Note_on,64,112
1,19,Note_off,64,63
1,19,Note_on,64,112
1,19,Note_off,64,63
1,19,Note_on,64,112
1,19,Note_off,64,63
1,19,Note_on,64,112
1,20,Note_off,64,63
1,20,Note_on,64,112
1,20,Note_off,64,63
1,20,Note_on,65,112
1,20,Note_on,64,112
1,20,Note_off,65,63
1,21,Note_off,64,63
1,21,Note_on,62,112
1,21,Note_off,62,63
1,21,Note_on,65,112
1,21,Note_off,65,63
1,22,Note_on,67,112
1,22,Note_off,67,63
1,28,Note_on,60,112
1,28,Note_off,60,63
1,28,Note_on,60,112
1,28,Note_off,60,63
1,28,Note_on,60,112
1,28,Note_off,60,63
1,28,Note_on,60,112
1,28,Note_off,60,63
1,29,Note_on,60,112
1,29,Note_off,60,63
1,29,Note_on,62,112
1,29,Note_off,62,63
1,29,Note_on,62,112
1,29,Note_off,62,63
1,29,Note_on,62,112
1,29,Note_off,62,63
1,29,Note_on,62,112
1,29,Note_off,62,63
1,29,Note_on,62,112
1,29,Note_off,62,63
1,29,Note_on,62,112
1,29,Note_off,62,63
1,29,Note_on,64,112
1,29,Note_off,64,63
1,29,Note_on,64,112
1,29,Note_off,64,63
1,30,Note_on,64,112
1,30,Note_off,64,63
1,30,Note_on,64,112
1,30,Note_off,64,63
1,30,Note_on,64,112
1,30,Note_off,64,63
1,30,Note_on,64,112
1,30,Note_off,64,63
1,30,Note_on,64,112
1,30,Note_off,64,63
1,30,Note_on,64,112
1,30,Note_off,64,63
1,30,Note_on,64,112
1,30,Note_off,64,63
1,30,Note_on,64,112
1,31,Note_off,64,63
1,31,Note_on,64,112
1,31,Note_off,64,63
1,31,Note_on,64,112
1,31,Note_off,64,63
1,31,Note_on,63,112
1,31,Note_off,63,63
1,31,Note_on,62,112
1,31,Note_off,62,63
1,31,Note_on,63,112
1,31,Note_off,63,63
1,31,Note_on,67,112
1,31,Note_on,65,112
1,32,Note_off,65,63
1,32,Note_off,67,63
1,32,Note_on,65,112
1,32,Note_off,65,63
1,32,Note_on,69,112
1,32,Note_off,69,63
1,32,Note_on,72,112
1,32,Note_on,74,112
1,32,Note_off,74,63
1,32,Note_off,72,63
1,32,Note_on,71,112
1,32,Note_off,71,63
1,32,Note_on,76,112
1,32,Note_off,76,63
1,32,Note_on,77,112
1,32,Note_on,79,112
1,32,Note_off,79,63
1,32,Note_off,77,63
1,32,Note_on,81,112
1,33,Note_on,79,112
1,33,Note_off,79,63
1,33,Note_off,81,63
1,43,Note_on,93,112
1,43,Note_off,93,63
1,44,Note_on,93,112
1,44,Note_off,93,63
1,44,Note_on,89,112
1,44,Note_off,89,63
1,81,Note_on,86,112
1,82,Note_off,86,63
1,82,Note_on,84,112
1,82,Note_off,84,63
1,82,Note_on,64,112
1,82,Note_off,64,63
1,82,Note_on,86,112
1,83,Note_on,62,112
1,83,Note_off,86,63
1,83,Note_off,62,63
1,83,Note_on,62,112
1,83,Note_off,62,63
1,83,Note_on,62,112
1,83,Note_off,62,63
1,84,Note_on,60,112
1,84,Note_off,60,63
1,84,Note_on,59,112
1,84,Note_off,59,63
1,84,Note_on,59,112
1,84,Note_off,59,63
1,84,Note_on,57,112
1,84,Note_off,57,63
1,84,Note_on,57,112
1,85,Note_off,57,63
1,85,Note_on,59,112
1,85,Note_off,59,63
1,85,Note_on,57,112
1,85,Note_off,57,63
1,85,Note_on,57,112
1,85,Note_off,57,63
1,85,Note_on,57,112
1,85,Note_off,57,63
1,85,Note_on,69,112
1,85,Note_off,69,63
1,85,Note_on,57,112
1,85,Note_off,57,63
1,85,Note_on,69,112
1,85,Note_on,57,112
1,85,Note_off,69,63
1,85,Note_on,67,112
1,85,Note_off,57,63
1,85,Note_off,67,63
1,85,Note_on,57,112
1,86,Note_on,59,112
1,86,Note_off,57,63
1,86,Note_on,67,112
1,86,Note_off,67,63
1,86,Note_off,59,63
1,86,Note_on,57,112
1,86,Note_on,59,112
1,86,Note_off,57,63
1,86,Note_on,62,112
1,86,Note_off,59,63
1,86,Note_off,62,63
1,86,Note_on,74,112
1,86,Note_on,76,112
1,86,Note_on,62,112
1,86,Note_off,76,63
1,86,Note_off,62,63
1,86,Note_off,74,63
1,86,Note_on,77,112
1,86,Note_off,77,63
1,86,Note_on,65,112
1,86,Note_off,65,63
1,86,Note_on,79,112
1,87,Note_off,79,63
1,87,Note_on,71,112
1,87,Note_off,71,63
1,87,Note_on,71,112
1,87,Note_off,71,63
1,87,Note_on,74,112
1,87,Note_off,74,63
1,87,Note_on,72,112
1,87,Note_off,72,63
1,87,Note_on,76,112
1,87,Note_off,76,63
1,87,Note_on,76,112
1,87,Note_on,77,112
1,87,Note_off,76,63
1,87,Note_off,77,63
1,93,Note_on,62,112
1,93,Note_off,62,63
1,93,Note_on,62,112
1,93,Note_off,62,63
1,93,Note_on,60,112
1,93,Note_on,62,112
1,93,Note_off,62,63
1,93,Note_on,62,112
1,93,Note_on,64,112
1,93,Note_off,64,63
1,93,Note_off,62,63
1,93,Note_off,60,63
1,93,Note_on,67,112
1,94,Note_off,67,63
1,94,Note_on,71,112
1,94,Note_off,71,63
1,94,Note_on,72,112
1,94,Note_on,71,112
1,94,Note_off,71,63
1,94,Note_off,72,63
1,94,Note_on,72,112
1,94,Note_off,72,63
1,94,Note_on,72,112
1,94,Note_on,71,112
1,94,Note_off,71,63
1,94,Note_off,72,63
1,94,Note_on,71,112
1,94,Note_off,71,63
1,95,Note_on,71,112
1,95,Note_off,71,63
1,95,Note_on,71,112
1,95,Note_off,71,63
1,95,Note_on,71,112
1,95,Note_off,71,63
1,95,Note_on,71,112
1,95,Note_off,71,63
1,95,Note_on,71,112
1,95,Note_off,71,63
1,95,Note_on,71,112
1,95,Note_off,71,63
1,95,Note_on,71,112
1,95,Note_off,71,63
1,96,Note_on,71,112
1,96,Note_off,71,63
1,96,Note_on,71,112
1,96,Note_off,71,63
1,96,Note_on,72,112
1,96,Note_off,72,63
1,96,Note_on,69,112
1,96,Note_off,69,63
1,98,Note_on,86,112
1,98,Note_off,86,63
1,98,Note_on,84,112
1,98,Note_on,83,112
1,98,Note_off,84,63
1,99,Note_on,81,112
1,99,Note_off,83,63
1,99,Note_on,79,112
1,99,Note_off,79,63
1,99,Note_off,81,63
1,99,Note_on,79,112
1,99,Note_on,77,112
1,99,Note_off,79,63
1,99,Note_off,77,63
1,100,Note_on,86,112
1,100,Note_off,86,63
1,100,Note_on,86,112
1,100,Note_on,84,112
1,100,Note_off,86,63
1,100,Note_on,83,112
1,100,Note_off,84,63
1,100,Note_off,83,63
1,100,Note_on,79,112
1,100,Note_off,79,63
1,103,Note_on,77,112
1,104,Note_off,77,63
1,104,Note_on,79,112
1,104,Note_off,79,63
1,104,Note_on,77,112
1,104,Note_off,77,63
1,104,Note_on,79,112
1,104,Note_off,79,63
1,104,Note_on,77,112
1,104,Note_on,53,112
1,104,Note_off,53,63
1,104,Note_off,77,63
1,104,Note_on,53,112
1,104,Note_off,53,63
1,105,Note_on,57,112
1,105,Note_on,76,112
1,105,Note_off,57,63
1,105,Note_off,76,63
1,105,Note_on,57,112
1,105,Note_on,59,112
1,105,Note_off,57,63
1,105,Note_on,57,112
1,105,Note_off,57,63
1,105,Note_on,76,112
1,106,Note_off,59,63
1,106,Note_off,76,63
1,106,Note_on,59,112
1,106,Note_on,60,112
1,106,Note_off,59,63
1,106,Note_off,60,63
1,106,Note_on,52,112
1,106,Note_on,60,112
1,106,Note_off,60,63
1,106,Note_off,52,63
1,106,Note_on,74,112
1,106,Note_on,59,112
1,106,Note_on,57,112
1,106,Note_on,50,112
1,106,Note_off,57,63
1,106,Note_off,59,63
1,106,Note_off,50,63
1,106,Note_off,74,63
1,106,Note_on,47,112
1,106,Note_on,57,112
1,106,Note_on,51,112
1,106,Note_off,51,63
1,106,Note_off,57,63
1,106,Note_off,47,63
1,106,Note_on,53,112
1,106,Note_on,51,112
1,106,Note_on,43,112
1,106,Note_off,51,63
1,106,Note_on,48,112
1,107,Note_on,51,112
1,107,Note_off,48,63
1,107,Note_off,51,63
1,107,Note_on,77,112
1,107,Note_off,53,63
1,107,Note_off,43,63
1,107,Note_off,77,63
1,107,Note_on,53,112
1,107,Note_on,41,112
1,107,Note_on,43,112
1,107,Note_on,51,112
1,107,Note_on,52,112
1,107,Note_off,52,63
1,107,Note_on,47,112
1,107,Note_off,51,63
1,107,Note_off,47,63
1,107,Note_on,51,112
1,107,Note_off,51,63
1,107,Note_off,41,63
1,107,Note_off,43,63
1,107,Note_off,53,63
1,107,Note_on,48,112
1,107,Note_on,57,112
1,107,Note_on,56,112
1,107,Note_off,56,63
1,107,Note_on,59,112
1,107,Note_off,57,63
1,107,Note_off,48,63
1,107,Note_off,59,63
1,107,Note_on,60,112
1,107,Note_on,62,112
1,107,Note_on,52,112
1,107,Note_on,56,112
1,107,Note_on,59,112
1,107,Note_off,56,63
1,107,Note_off,62,63
1,107,Note_off,59,63
1,107,Note_off,60,63
1,107,Note_off,52,63
1,107,Note_on,62,112
1,107,Note_on,64,112
1,107,Note_on,60,112
1,107,Note_on,59,112
1,107,Note_on,53,112
1,107,Note_off,60,63
1,107,Note_off,64,63
1,107,Note_off,59,63
1,107,Note_on,64,112
1,107,Note_off,64,63
1,107,Note_off,62,63
1,107,Note_off,53,63
1,107,Note_on,76,112
1,108,Note_off,76,63
1,108,Note_on,77,112
1,108,Note_off,77,63
1,108,Note_on,77,112
1,108,Note_off,77,63
1,108,Note_on,76,112
1,109,Note_off,76,63
1,109,Note_on,77,112
1,109,Note_off,77,63
1,109,Note_on,76,112
1,109,Note_off,76,63
1,109,Note_on,76,112
1,110,Note_off,76,63
1,110,Note_on,76,112
1,110,Note_off,76,63
1,111,Note_on,76,112
1,111,Note_off,76,63
1,112,Note_on,52,112
1,112,Note_on,50,112
1,112,Note_on,57,112
1,112,Note_on,59,112
1,112,Note_off,57,63
1,112,Note_off,59,63
1,112,Note_off,50,63
1,112,Note_off,52,63
1,113,Note_on,52,112
1,113,Note_on,59,112
1,113,Note_off,52,63
1,113,Note_off,59,63
1,113,Note_on,76,112
1,113,Note_off,76,63
1,114,Note_on,52,112
1,114,Note_on,57,112
1,114,Note_on,59,112
1,114,Note_on,60,112
1,114,Note_on,62,112
1,114,Note_on,50,112
1,114,Note_off,62,63
1,114,Note_on,53,112
1,114,Note_off,50,63
1,114,Note_off,57,63
1,114,Note_off,52,63
1,114,Note_on,50,112
1,114,Note_off,60,63
1,114,Note_off,53,63
1,114,Note_on,57,112
1,114,Note_off,59,63
1,114,Note_on,52,112
1,114,Note_off,52,63
1,114,Note_on,53,112
1,114,Note_off,50,63
1,114,Note_off,57,63
1,114,Note_on,59,112
1,114,Note_on,60,112
1,114,Note_off,60,63
1,114,Note_off,53,63
1,114,Note_on,50,112
1,115,Note_off,59,63
1,115,Note_on,52,112
1,115,Note_on,57,112
1,115,Note_off,50,63
1,115,Note_on,60,112
1,115,Note_off,57,63
1,115,Note_on,59,112
1,115,Note_off,52,63
1,115,Note_off,59,63
1,115,Note_on,50,112
1,115,Note_on,52,112
1,115,Note_off,60,63
1,115,Note_on,57,112
1,115,Note_off,50,63
1,115,Note_off,57,63
1,115,Note_on,60,112
1,115,Note_off,52,63
1,115,Note_on,59,112
1,115,Note_on,55,112
1,115,Note_off,59,63
1,115,Note_off,60,63
1,115,Note_on,57,112
1,115,Note_off,55,63
1,115,Note_on,52,112
1,115,Note_off,57,63
1,115,Note_on,53,112
1,115,Note_on,60,112
1,115,Note_on,59,112
1,115,Note_off,52,63
1,115,Note_off,59,63
1,115,Note_off,60,63
1,115,Note_off,53,63
1,115,Note_on,57,112
1,115,Note_on,55,112
1,115,Note_off,57,63
1,115,Note_on,52,112
1,115,Note_off,55,63
1,115,Note_on,53,112
1,115,Note_on,59,112
1,115,Note_on,60,112
1,115,Note_off,60,63
1,115,Note_off,52,63
1,115,Note_off,59,63
1,115,Note_on,57,112
1,115,Note_off,53,63
1,115,Note_on,55,112
1,115,Note_off,57,63
1,115,Note_on,52,112
1,115,Note_on,59,112
1,115,Note_on,60,112
1,115,Note_on,53,112
1,115,Note_on,62,112
1,115,Note_off,55,63
1,115,Note_off,60,63
1,115,Note_off,62,63
1,115,Note_off,59,63
1,115,Note_off,52,63
1,115,Note_off,53,63
1,115,Note_on,57,112
1,115,Note_off,57,63
1,115,Note_on,62,112
1,115,Note_on,59,112
1,115,Note_on,60,112
1,115,Note_off,60,63
1,115,Note_off,59,63
1,115,Note_off,62,63
1,115,Note_on,52,112
1,115,Note_on,53,112
1,115,Note_on,59,112
1,115,Note_off,59,63
1,115,Note_off,52,63
1,115,Note_on,57,112
1,115,Note_off,53,63
1,115,Note_on,62,112
1,115,Note_on,60,112
1,115,Note_off,57,63
1,115,Note_off,60,63
1,115,Note_off,62,63
1,115,Note_on,59,112
1,116,Note_on,52,112
1,116,Note_on,53,112
1,116,Note_off,59,63
1,116,Note_off,52,63
1,116,Note_off,53,63
1,116,Note_on,57,112
1,116,Note_on,62,112
1,116,Note_on,60,112
1,116,Note_off,62,63
1,116,Note_off,57,63
1,116,Note_off,60,63
1,116,Note_on,59,112
1,116,Note_on,53,112
1,116,Note_on,52,112
1,116,Note_off,59,63
1,116,Note_on,62,112
1,116,Note_off,52,63
1,116,Note_on,60,112
1,116,Note_off,53,63
1,116,Note_on,57,112
1,116,Note_off,60,63
1,116,Note_off,62,63
1,116,Note_off,57,63
1,116,Note_on,59,112
1,116,Note_on,53,112
1,116,Note_on,55,112
1,116,Note_off,55,63
1,116,Note_off,59,63
1,116,Note_off,53,63
1,116,Note_on,57,112
1,116,Note_off,57,63
1,116,Note_on,59,112
1,116,Note_on,53,112
1,116,Note_on,55,112
1,116,Note_off,59,63
1,116,Note_on,62,112
1,116,Note_off,55,63
1,116,Note_off,53,63
1,116,Note_on,60,112
1,116,Note_off,60,63
1,116,Note_on,57,112
1,116,Note_off,62,63
1,116,Note_on,59,112
1,116,Note_off,57,63
1,116,Note_on,53,112
1,116,Note_on,55,112
1,116,Note_off,59,63
1,116,Note_on,60,112
1,116,Note_on,62,112
1,116,Note_off,55,63
1,116,Note_off,53,63
1,116,Note_off,62,63
1,116,Note_off,60,63
1,116,Note_on,57,112
1,116,Note_on,59,112
1,116,Note_off,57,63
1,116,Note_on,53,112
1,116,Note_on,55,112
1,116,Note_off,59,63
1,116,Note_on,62,112
1,116,Note_on,60,112
1,116,Note_off,53,63
1,116,Note_off,55,63
1,116,Note_off,60,63
1,116,Note_off,62,63
1,116,Note_on,57,112
1,116,Note_on,59,112
1,116,Note_off,57,63
1,116,Note_on,53,112
1,116,Note_on,55,112
1,117,Note_off,59,63
1,117,Note_on,62,112
1,117,Note_on,60,112
1,117,Note_off,53,63
1,117,Note_off,55,63
1,117,Note_off,60,63
1,117,Note_on,57,112
1,117,Note_off,62,63
1,117,Note_on,59,112
1,117,Note_on,53,112
1,117,Note_on,55,112
1,117,Note_off,57,63
1,117,Note_off,59,63
1,117,Note_on,60,112
1,117,Note_on,62,112
1,117,Note_off,53,63
1,117,Note_off,55,63
1,117,Note_on,57,112
1,117,Note_off,62,63
1,117,Note_off,60,63
1,117,Note_on,59,112
1,117,Note_off,59,63
1,117,Note_off,57,63
1,117,Note_on,55,112
1,117,Note_on,62,112
1,117,Note_on,57,112
1,117,Note_off,55,63
1,117,Note_off,62,63
1,117,Note_on,60,112
1,117,Note_off,57,63
1,117,Note_off,60,63
1,117,Note_on,53,112
1,117,Note_on,55,112
1,117,Note_on,62,112
1,117,Note_on,57,112
1,117,Note_off,62,63
1,117,Note_off,53,63
1,117,Note_off,55,63
1,117,Note_off,57,63
1,121,Note_on,96,112
1,122,Note_off,96,63
1,122,Note_on,95,112
1,122,Note_off,95,63
1,122,Note_on,95,112
1,122,Note_on,93,112
1,122,Note_off,95,63
1,122,Note_off,93,63
1,122,Note_on,91,112
1,122,Note_off,91,63
1,122,Note_on,89,112
1,122,Note_off,89,63
1,122,Note_on,88,112
1,122,Note_off,88,63
1,122,Note_on,86,112
1,122,Note_off,86,63
1,123,Note_on,84,112
1,123,Note_off,84,63
1,123,Note_on,83,112
1,123,Note_off,83,63
1,123,Note_on,81,112
1,123,Note_off,81,63
1,123,Note_on,79,112
1,123,Note_off,79,63
1,123,Note_on,77,112
1,123,Note_off,77,63
1,124,Note_on,53,112
1,124,Note_on,47,112
1,124,Note_off,53,63
1,124,Note_on,48,112
1,124,Note_off,47,63
1,124,Note_off,48,63
1,124,Note_on,45,112
1,124,Note_on,47,112
1,124,Note_off,45,63
1,124,Note_on,48,112
1,124,Note_off,47,63
1,124,Note_off,48,63
1,124,Note_on,45,112
1,124,Note_off,45,63
1,125,Note_on,79,112
1,125,Note_off,79,63
1,125,Note_on,79,112
1,125,Note_off,79,63
1,125,Note_on,77,112
1,125,Note_off,77,63
1,125,Note_on,76,112
1,125,Note_on,74,112
1,125,Note_off,76,63
1,125,Note_on,72,112
1,125,Note_off,74,63
1,125,Note_off,72,63
1,125,Note_on,71,112
1,125,Note_off,71,63
1,125,Note_on,71,112
1,125,Note_on,48,112
1,125,Note_on,50,112
1,125,Note_off,48,63
1,125,Note_off,50,63
1,125,Note_on,50,112
1,125,Note_off,50,63
1,125,Note_off,71,63
1,125,Note_on,48,112
1,125,Note_off,48,63
1,126,Note_on,52,112
1,126,Note_on,79,112
1,126,Note_off,52,63
1,126,Note_on,77,112
1,126,Note_on,48,112
1,126,Note_off,79,63
1,126,Note_on,76,112
1,126,Note_off,48,63
1,126,Note_off,77,63
1,126,Note_on,74,112
1,126,Note_off,76,63
1,126,Note_on,72,112
1,126,Note_off,74,63
1,127,Note_on,71,112
1,127,Note_off,72,63
1,127,Note_on,45,112
1,127,Note_off,71,63
1,127,Note_off,45,63
1,127,Note_on,48,112
1,127,Note_off,48,63
1,127,Note_on,67,112
1,127,Note_on,48,112
1,127,Note_off,48,63
1,127,Note_off,67,63
1,128,Note_on,43,112
1,128,Note_on,45,112
1,128,Note_off,43,63
1,128,Note_off,45,63
1,128,Note_on,55,112
1,128,Note_off,55,63
1,128,Note_on,53,112
1,128,Note_on,41,112
1,128,Note_on,43,112
1,128,Note_off,53,63
1,129,Note_off,41,63
1,129,Note_on,45,112
1,129,Note_off,43,63
1,129,Note_off,45,63
1,129,Note_on,60,112
1,129,Note_off,60,63
1,129,Note_on,84,112
1,129,Note_off,84,63
1,130,Note_on,84,112
1,130,Note_off,84,63
1,130,Note_on,84,112
1,130,Note_off,84,63
1,130,Note_on,64,112
1,130,Note_off,64,63
1,130,Note_on,86,112
1,130,Note_off,86,63
1,130,Note_on,64,112
1,130,Note_off,64,63
1,130,Note_on,64,112
1,131,Note_off,64,63
1,131,Note_on,84,112
1,131,Note_off,84,63
1,131,Note_on,84,112
1,132,Note_off,84,63
1,132,Note_on,84,112
1,132,Note_on,86,112
1,132,Note_off,84,63
1,132,Note_off,86,63
1,132,Note_on,86,112
1,132,Note_off,86,63
1,132,Note_on,88,112
1,133,Note_off,88,63
1,134,Note_on,84,112
1,134,Note_off,84,63
1,135,Note_on,84,112
1,135,Note_off,84,63
1,135,Note_on,86,112
1,136,Note_off,86,63
1,136,Note_on,88,112
1,136,Note_off,88,63
1,137,Note_on,84,112
1,137,Note_off,84,63
1,137,Note_on,84,112
1,137,Note_off,84,63
1,137,Note_on,86,112
1,138,Note_off,86,63
1,139,Note_on,36,112
1,139,Note_off,36,63
1,140,Note_on,36,112
1,140,Note_off,36,63
1,141,Note_on,36,112
1,141,Note_on,38,112
1,141,Note_off,38,63
1,141,Note_off,36,63
1,142,Note_on,84,112
1,142,Note_off,84,63
1,142,Note_on,41,112
1,142,Note_on,84,112
1,142,Note_off,84,63
1,142,Note_on,86,112
1,143,Note_off,41,63
1,143,Note_on,88,112
1,143,Note_off,86,63
