track,time,event,note,velocity
1,0,Note_on,64,112
1,1,Note_off,64,63
1,1,Note_on,62,112
1,2,Note_off,62,63
1,3,Note_on,60,112
1,4,Note_off,60,63
1,4,Note_on,59,112
1,6,Note_off,59,63
1,6,Note_on,57,112
1,7,Note_off,57,63
1,7,Note_on,55,112
1,9,Note_off,55,63
1,9,Note_on,57,112
1,10,Note_off,57,63
1,10,Note_on,59,112
1,12,Note_off,59,63
1,21,Note_on,72,112
1,22,Note_off,72,63
1,24,Note_on,74,112
1,24,Note_off,74,63
1,25,Note_on,72,112
1,26,Note_off,72,63
1,27,Note_on,72,112
1,27,Note_off,72,63
1,28,Note_on,77,112
1,28,Note_off,77,63
1,28,Note_on,79,112
1,28,Note_off,79,63
1,29,Note_on,81,112
1,29,Note_off,81,63
1,29,Note_on,79,112
1,29,Note_off,79,63
1,29,Note_on,77,112
1,30,Note_off,77,63
1,30,Note_on,76,112
1,30,Note_on,74,112
1,30,Note_off,74,63
1,30,Note_off,76,63
1,30,Note_on,72,112
1,30,Note_off,72,63
1,31,Note_on,77,112
1,31,Note_off,77,63
1,31,Note_on,67,112
1,32,Note_off,67,63
1,32,Note_on,65,112
1,32,Note_on,64,112
1,32,Note_off,65,63
1,32,Note_off,64,63
1,33,Note_on,74,112
1,33,Note_off,74,63
1,33,Note_on,69,112
1,33,Note_off,69,63
1,34,Note_on,71,112
1,34,Note_off,71,63
1,34,Note_on,72,112
1,34,Note_off,72,63
1,34,Note_on,72,112
1,34,Note_off,72,63
1,35,Note_on,69,112
1,35,Note_off,69,63
1,35,Note_on,72,112
1,35,Note_off,72,63
1,35,Note_on,71,112
1,35,Note_off,71,63
1,35,Note_on,72,112
1,35,Note_off,72,63
1,35,Note_on,71,112
1,36,Note_off,71,63
1,36,Note_on,72,112
1,36,Note_off,72,63
1,102,Note_on,72,112
1,102,Note_on,71,112
1,102,Note_off,72,63
1,102,Note_on,69,112
1,103,Note_off,71,63
1,103,Note_off,69,63
1,103,Note_on,65,112
1,103,Note_on,67,112
1,103,Note_off,67,63
1,103,Note_on,67,112
1,103,Note_off,67,63
1,103,Note_off,65,63
1,104,Note_on,65,112
1,104,Note_off,65,63
1,104,Note_on,69,112
1,104,Note_off,69,63
1,104,Note_on,71,112
1,104,Note_on,69,112
1,104,Note_off,71,63
1,104,Note_off,69,63
1,104,Note_on,65,112
1,105,Note_off,65,63
