Track,Time,Event,Note,Velocity
1,0.342,Note_on,65,112
1,0.713,Note_on,67,112
1,1.096,Note_off,65,63
1,1.171,Note_off,67,63
1,1.216,Note_on,69,112
1,1.424,Note_off,69,63
1,1.728,Note_on,65,112
1,1.913,Note_off,65,63
1,2.289,Note_on,65,112
1,2.754,Note_on,67,112
1,2.924,Note_off,65,63
1,3.196,Note_off,67,63
1,3.254,Note_on,69,112
1,3.696,Note_off,69,63
1,3.729,Note_on,65,112
1,4.211,Note_on,69,112
1,4.249,Note_off,65,63
1,4.62,Note_off,69,63
1,4.75,Note_on,70,112
1,4.929,Note_off,70,63
1,5.263,Note_on,74,112
1,5.79,Note_off,74,63
1,6.314,Note_on,69,112
1,6.796,Note_on,70,112
1,6.812,Note_off,69,63
1,6.948,Note_off,70,63
1,7.257,Note_on,72,112
1,7.941,Note_off,72,63
1,8.392,Note_on,72,112
1,8.541,Note_off,72,63
1,8.663,Note_on,74,112
1,8.753,Note_off,74,63
1,8.904,Note_on,72,112
1,8.984,Note_off,72,63
1,9.122,Note_on,70,112
1,9.19,Note_off,70,63
1,9.347,Note_on,69,112
1,9.558,Note_off,69,63
1,9.802,Note_on,65,112
1,9.924,Note_off,65,63
1,10.331,Note_on,72,112
1,10.49,Note_off,72,63
1,10.514,Note_on,74,112
1,10.641,Note_off,74,63
1,10.685,Note_on,72,112
1,10.825,Note_off,72,63
1,10.971,Note_on,70,112
1,11.043,Note_off,70,63
1,11.242,Note_on,69,112
1,11.467,Note_off,69,63
1,11.835,Note_on,65,112
1,12.008,Note_off,65,63
1,12.339,Note_on,67,112
1,12.512,Note_off,67,63
1,12.826,Note_on,60,112
1,13.334,Note_off,60,63
1,13.39,Note_on,65,112
1,14.202,Note_off,65,63
1,14.906,Note_on,67,112
1,15.369,Note_off,67,63
1,15.423,Note_on,60,112
1,15.959,Note_off,60,63
1,15.985,Note_on,65,112
1,16.801,Note_off,65,63
1,17.16,Note_on,65,112
1,17.542,Note_on,67,112
1,17.922,Note_off,65,63
1,17.999,Note_off,67,63
1,18.01,Note_on,69,112
1,18.451,Note_off,69,63
1,18.534,Note_on,65,112
1,18.706,Note_off,65,63
1,19.043,Note_on,65,112
1,19.577,Note_on,67,112
1,19.619,Note_off,65,63
1,20.086,Note_off,67,63
1,20.12,Note_on,69,112
1,20.521,Note_off,69,63
1,20.608,Note_on,65,112
1,21.052,Note_off,65,63
1,21.121,Note_on,69,112
1,21.592,Note_off,69,63
1,21.75,Note_on,70,112
1,21.965,Note_off,70,63
1,22.428,Note_on,72,112
1,22.813,Note_off,72,63
1,23.372,Note_on,69,112
1,23.891,Note_off,69,63
1,23.971,Note_on,70,112
1,24.163,Note_off,70,63
1,24.48,Note_on,72,112
1,25.099,Note_off,72,63
1,25.469,Note_on,72,112
1,25.623,Note_off,72,63
1,25.773,Note_on,74,112
1,25.844,Note_off,74,63
1,26.035,Note_on,72,112
1,26.175,Note_off,72,63
1,26.325,Note_on,70,112
1,26.393,Note_off,70,63
1,26.668,Note_on,71,112
1,26.818,Note_off,71,63
1,27.205,Note_on,60,112
1,27.362,Note_off,60,63
1,27.831,Note_on,72,112
1,28.04,Note_off,72,63
1,28.092,Note_on,74,112
1,28.233,Note_off,74,63
1,28.433,Note_on,70,112
1,28.519,Note_off,70,63
1,28.707,Note_on,69,112
1,28.866,Note_off,69,63
1,29.093,Note_on,62,112
1,29.343,Note_off,62,63
1,30.061,Note_on,67,112
1,30.374,Note_off,67,63
1,30.495,Note_on,60,112
1,30.928,Note_off,60,63
1,30.986,Note_on,65,112
1,31.79,Note_off,65,63
1,32.089,Note_on,67,112
1,32.562,Note_off,67,63
1,32.602,Note_on,60,112
1,33.071,Note_off,60,63
1,33.117,Note_on,65,112
