track,time,event,note,velocity
1,1,Note_on,65,112
1,2,Note_on,67,112
1,2,Note_off,65,63
1,2,Note_on,69,112
1,3,Note_off,67,63
1,3,Note_off,69,63
1,3,Note_on,65,112
1,3,Note_off,65,63
1,4,Note_on,65,112
1,4,Note_on,67,112
1,4,Note_off,65,63
1,5,Note_on,69,112
1,5,Note_off,67,63
1,5,Note_off,69,63
1,5,Note_on,65,112
1,6,Note_off,65,63
1,6,Note_on,65,112
1,6,Note_off,65,63
1,7,Note_on,70,112
1,7,Note_off,70,63
1,7,Note_on,74,112
1,7,Note_on,72,112
1,7,Note_off,74,63
1,8,Note_off,72,63
1,8,Note_on,69,112
1,9,Note_off,69,63
1,9,Note_on,70,112
1,9,Note_off,70,63
1,9,Note_on,72,112
1,10,Note_off,72,63
1,11,Note_on,72,112
1,11,Note_off,72,63
1,11,Note_on,74,112
1,11,Note_off,74,63
1,11,Note_on,72,112
1,12,Note_off,72,63
1,12,Note_on,70,112
1,12,Note_off,70,63
1,12,Note_on,71,112
1,12,Note_off,71,63
1,12,Note_on,65,112
1,13,Note_off,65,63
