track,time,event,note,velocity
1,3,Note_on,59,112
1,3,Note_on,62,112
1,3,Note_on,60,112
1,3,Note_off,59,63
1,3,Note_off,62,63
1,3,Note_off,60,63
1,3,Note_on,59,112
1,3,Note_on,62,112
1,3,Note_off,59,63
1,3,Note_on,59,112
1,3,Note_on,60,112
1,4,Note_off,62,63
1,4,Note_off,60,63
1,4,Note_off,59,63
1,4,Note_on,62,112
1,4,Note_on,60,112
1,4,Note_on,59,112
1,4,Note_off,62,63
1,4,Note_off,59,63
1,4,Note_off,60,63
1,4,Note_on,62,112
1,4,Note_on,60,112
1,4,Note_off,62,63
1,4,Note_off,60,63
1,4,Note_on,62,112
1,4,Note_on,64,112
1,4,Note_off,64,63
1,4,Note_off,62,63
1,4,Note_on,60,112
1,4,Note_on,64,112
1,4,Note_off,60,63
1,4,Note_on,62,112
1,4,Note_off,62,63
1,4,Note_off,64,63
1,4,Note_on,60,112
1,4,Note_on,64,112
1,4,Note_off,60,63
1,4,Note_off,64,63
1,4,Note_on,60,112
1,5,Note_off,60,63
1,5,Note_on,64,112
1,5,Note_off,64,63
1,5,Note_on,62,112
1,5,Note_off,62,63
1,5,Note_on,59,112
1,5,Note_on,65,112
1,5,Note_off,59,63
1,5,Note_off,65,63
1,5,Note_on,59,112
1,5,Note_off,59,63
1,5,Note_on,59,112
1,5,Note_on,65,112
1,5,Note_off,59,63
1,5,Note_off,65,63
1,5,Note_on,65,112
1,5,Note_on,64,112
1,5,Note_on,59,112
1,5,Note_off,65,63
1,5,Note_off,64,63
1,5,Note_on,65,112
1,5,Note_off,59,63
1,6,Note_off,65,63
1,6,Note_on,59,112
1,6,Note_on,62,112
1,6,Note_off,62,63
1,6,Note_off,59,63
1,6,Note_on,62,112
1,6,Note_off,62,63
1,6,Note_on,64,112
1,6,Note_on,62,112
1,6,Note_off,64,63
1,6,Note_off,62,63
1,6,Note_on,64,112
1,6,Note_on,62,112
1,6,Note_on,60,112
1,6,Note_off,64,63
1,6,Note_off,62,63
1,6,Note_off,60,63
1,8,Note_on,65,112
1,9,Note_off,65,63
1,9,Note_on,69,112
1,10,Note_off,69,63
1,10,Note_on,70,112
1,10,Note_off,70,63
1,10,Note_on,72,112
1,11,Note_off,72,63
1,12,Note_on,72,112
1,12,Note_off,72,63
1,14,Note_on,69,112
1,14,Note_off,69,63
1,14,Note_on,70,112
1,15,Note_off,70,63
1,15,Note_on,72,112
1,16,Note_off,72,63
1,18,Note_on,72,112
1,18,Note_off,72,63
1,18,Note_on,74,112
1,18,Note_off,74,63
1,19,Note_on,72,112
1,19,Note_off,72,63
1,19,Note_on,73,112
1,20,Note_off,73,63
1,20,Note_on,71,112
1,20,Note_off,71,63
1,22,Note_on,65,112
1,22,Note_off,65,63
