track,start,end,event,channel,note,velocity,name
0,0,455,Note_on,1,60,77,C4
0,480,935,Note_on,1,60,83,C4
0,960,1415,Note_on,1,67,90,G4
0,1440,1895,Note_on,1,67,87,G4
0,1920,2375,Note_on,1,69,86,A4
0,1920,2831,Note_on,1,60,73,C4
0,2880,3791,Note_on,1,60,75,C4
0,2880,3791,Note_on,1,67,81,G4
0,3840,4295,Note_on,1,65,80,F4
0,3840,4751,Note_on,1,57,70,A3
0,4320,4775,Note_on,1,65,85,F4
0,4800,5255,Note_on,1,64,82,E4
0,5280,5735,Note_on,1,64,84,E4
0,5760,6215,Note_on,1,62,81,D4
0,6240,6695,Note_on,1,62,83,D4
0,6720,7631,Note_on,1,60,81,C4
0,7680,8135,Note_on,1,67,94,G4
0,8160,8615,Note_on,1,67,83,G4
0,8640,9095,Note_on,1,65,81,F4
0,8640,9551,Note_on,1,57,71,A3
0,9120,9575,Note_on,1,65,84,F4
0,9600,10055,Note_on,1,64,82,E4
0,10080,10535,Note_on,1,64,84,E4
0,10560,11471,Note_on,1,62,82,D4
0,11520,11975,Note_on,1,67,90,G4
0,12000,12455,Note_on,1,67,84,G4
0,12480,12935,Note_on,1,65,84,F4
0,12480,13391,Note_on,1,57,71,A3
0,12960,13415,Note_on,1,65,85,F4
0,13440,13895,Note_on,1,64,82,E4
0,13920,14375,Note_on,1,64,82,E4
0,14400,15311,Note_on,1,62,83,D4
0,15360,15815,Note_on,1,60,82,C4
0,15840,16295,Note_on,1,60,83,C4
0,16320,16775,Note_on,1,67,90,G4
0,16800,17255,Note_on,1,67,83,G4
0,17280,17735,Note_on,1,69,87,A4
0,17280,18191,Note_on,1,60,69,C4
0,18240,19151,Note_on,1,60,72,C4
0,18240,19151,Note_on,1,67,79,G4
0,19200,19655,Note_on,1,65,81,F4
0,19200,20111,Note_on,1,57,69,A3
0,19680,20135,Note_on,1,65,83,F4
0,20160,20615,Note_on,1,64,81,E4
0,20640,21095,Note_on,1,64,84,E4
0,21120,21575,Note_on,1,62,82,D4
0,21600,22055,Note_on,1,62,83,D4
0,22080,22991,Note_on,1,60,80,C4
1,0,911,Note_on,1,48,64,C3
1,0,911,Note_on,1,52,63,E3
1,960,1871,Note_on,1,48,71,C3
1,960,1871,Note_on,1,60,77,C4
1,1920,2831,Note_on,1,41,66,F2
1,2400,2855,Note_on,1,69,83,A4
1,2880,3791,Note_on,1,48,71,C3
1,3840,4751,Note_on,1,41,68,F2
1,4800,5711,Note_on,1,48,76,C3
1,4800,5711,Note_on,1,55,69,G3
1,5760,6671,Note_on,1,43,69,G2
1,5760,6671,Note_on,1,55,71,G3
1,6720,7631,Note_on,1,48,75,C3
1,6720,7631,Note_on,1,52,71,E3
1,7680,8591,Note_on,1,48,72,C3
1,7680,8591,Note_on,1,60,80,C4
1,8640,9551,Note_on,1,41,68,F2
1,9600,10511,Note_on,1,43,73,G2
1,9600,10511,Note_on,1,55,70,G3
1,10560,11471,Note_on,1,43,72,G2
1,10560,11471,Note_on,1,55,67,G3
1,11520,12431,Note_on,1,48,73,C3
1,11520,12431,Note_on,1,60,76,C4
1,12480,13391,Note_on,1,41,68,F2
1,13440,14351,Note_on,1,43,73,G2
1,13440,14351,Note_on,1,55,70,G3
1,14400,15311,Note_on,1,43,69,G2
1,14400,15311,Note_on,1,55,70,G3
1,15360,16271,Note_on,1,48,73,C3
1,15360,16271,Note_on,1,52,69,E3
1,16320,17231,Note_on,1,48,72,C3
1,16320,17231,Note_on,1,60,80,C4
1,17280,18191,Note_on,1,41,68,F2
1,17760,18215,Note_on,1,69,81,A4
1,18240,19151,Note_on,1,48,73,C3
1,19200,20111,Note_on,1,41,68,F2
1,20160,21071,Note_on,1,48,75,C3
1,20160,21071,Note_on,1,55,70,G3
1,21120,22031,Note_on,1,43,69,G2
1,21120,22031,Note_on,1,55,71,G3
1,22080,22991,Note_on,1,48,74,C3
1,22080,22991,Note_on,1,52,70,E3
