track,start,end,event,channel,note,velocity
1,0,1536,Note_on,1,67,0
1,1200,2300,Note_on,1,67,0
1,1536,2048,Note_on,1,69,0
1,2048,3072,Note_on,1,67,0
1,3072,5888,Note_on,1,64,0
1,6144,7680,Note_on,1,67,0
1,7680,8192,Note_on,1,69,0
1,8192,9216,Note_on,1,67,0
1,9216,12032,Note_on,1,64,0
1,12288,14336,Note_on,1,74,0
1,14336,15360,Note_on,1,74,0
1,15360,18176,Note_on,1,71,0
1,18432,20480,Note_on,1,72,0
1,20480,21504,Note_on,1,72,0
1,21504,24320,Note_on,1,67,0
1,24576,26624,Note_on,1,69,0
1,26624,27648,Note_on,1,69,0
1,27648,29184,Note_on,1,72,0
1,29184,29696,Note_on,1,71,0
1,29696,30720,Note_on,1,69,0
1,30720,32256,Note_on,1,67,0
1,32256,32768,Note_on,1,69,0
1,32768,33792,Note_on,1,67,0
1,33792,36608,Note_on,1,64,0
1,36864,38912,Note_on,1,69,0
1,38912,39936,Note_on,1,69,0
1,39936,41472,Note_on,1,72,0
1,41472,41984,Note_on,1,71,0
1,41984,43008,Note_on,1,69,0
1,43008,44544,Note_on,1,67,0
1,44544,45056,Note_on,1,69,0
1,45056,46080,Note_on,1,67,0
1,46080,48896,Note_on,1,64,0
1,49152,51200,Note_on,1,74,0
1,51200,52224,Note_on,1,74,0
1,52224,53760,Note_on,1,77,0
1,53760,54272,Note_on,1,74,0
1,54272,55296,Note_on,1,71,0
1,55296,58112,Note_on,1,72,0
1,58368,61184,Note_on,1,76,0
1,61440,62976,Note_on,1,72,0
1,62976,63488,Note_on,1,67,0
1,63488,64512,Note_on,1,64,0
1,64512,66048,Note_on,1,67,0
1,66048,66560,Note_on,1,62,0
1,66560,67584,Note_on,1,59,0
1,67584,79189,Note_on,1,60,0
2,0,1024,Note_on,2,48,0
2,1024,1536,Note_on,2,52,0
2,1024,1536,Note_on,2,55,0
2,2048,2560,Note_on,2,52,0
2,2048,2560,Note_on,2,55,0
2,3072,4096,Note_on,2,48,0
2,4096,4608,Note_on,2,52,0
2,4096,4608,Note_on,2,55,0
2,5120,5632,Note_on,2,52,0
2,5120,5632,Note_on,2,55,0
2,6144,7168,Note_on,2,48,0
2,7168,7680,Note_on,2,52,0
2,7168,7680,Note_on,2,55,0
2,8192,8704,Note_on,2,52,0
2,8192,8704,Note_on,2,55,0
2,9216,10240,Note_on,2,48,0
2,10240,10752,Note_on,2,52,0
2,10240,10752,Note_on,2,55,0
2,11264,11776,Note_on,2,52,0
2,11264,11776,Note_on,2,55,0
2,12288,13312,Note_on,2,43,0
2,13312,13824,Note_on,2,47,0
2,13312,13824,Note_on,2,50,0
2,14336,14848,Note_on,2,47,0
2,14336,14848,Note_on,2,50,0
2,15360,16384,Note_on,2,43,0
2,16384,16896,Note_on,2,47,0
2,16384,16896,Note_on,2,50,0
2,17408,17920,Note_on,2,47,0
2,17408,17920,Note_on,2,50,0
2,18432,19456,Note_on,2,48,0
2,19456,19968,Note_on,2,52,0
2,19456,19968,Note_on,2,55,0
2,20480,20992,Note_on,2,52,0
2,20480,20992,Note_on,2,55,0
2,21504,22528,Note_on,2,48,0
2,22528,23552,Note_on,2,50,0
2,23552,24576,Note_on,2,52,0
2,24576,25600,Note_on,2,53,0
2,25600,26624,Note_on,2,57,0
2,26624,27648,Note_on,2,48,0
2,27648,28672,Note_on,2,53,0
2,28672,29696,Note_on,2,57,0
2,29696,30720,Note_on,2,48,0
2,30720,31744,Note_on,2,48,0
2,31744,32256,Note_on,2,52,0
2,31744,32256,Note_on,2,55,0
2,32768,33280,Note_on,2,52,0
2,32768,33280,Note_on,2,55,0
2,33792,34816,Note_on,2,48,0
2,34816,35840,Note_on,2,50,0
2,35840,36864,Note_on,2,52,0
2,36864,37888,Note_on,2,53,0
2,37888,38912,Note_on,2,57,0
2,38912,39936,Note_on,2,48,0
2,39936,40960,Note_on,2,53,0
2,40960,41984,Note_on,2,57,0
2,41984,43008,Note_on,2,48,0
2,43008,44032,Note_on,2,48,0
2,44032,44544,Note_on,2,52,0
2,44032,44544,Note_on,2,55,0
2,45056,45568,Note_on,2,52,0
2,45056,45568,Note_on,2,55,0
2,46080,47104,Note_on,2,48,0
2,47104,47616,Note_on,2,52,0
2,47104,47616,Note_on,2,55,0
2,48128,48640,Note_on,2,52,0
2,48128,48640,Note_on,2,55,0
2,49152,50176,Note_on,2,43,0
2,50176,50688,Note_on,2,47,0
2,50176,50688,Note_on,2,50,0
2,51200,51712,Note_on,2,47,0
2,51200,51712,Note_on,2,50,0
2,52224,53248,Note_on,2,43,0
2,53248,53760,Note_on,2,47,0
2,53248,53760,Note_on,2,50,0
2,54272,54784,Note_on,2,47,0
2,54272,54784,Note_on,2,50,0
2,55296,56320,Note_on,2,48,0
2,56320,56832,Note_on,2,52,0
2,56320,56832,Note_on,2,55,0
2,57344,57856,Note_on,2,52,0
2,57344,57856,Note_on,2,55,0
2,58368,59392,Note_on,2,48,0
2,59392,59904,Note_on,2,52,0
2,59392,59904,Note_on,2,55,0
2,60416,60928,Note_on,2,52,0
2,60416,60928,Note_on,2,55,0
2,61440,62464,Note_on,2,48,0
2,62464,62976,Note_on,2,52,0
2,62464,62976,Note_on,2,55,0
2,63488,64000,Note_on,2,52,0
2,63488,64000,Note_on,2,55,0
2,64512,65536,Note_on,2,43,0
2,65536,66560,Note_on,2,47,0
2,66560,67584,Note_on,2,50,0
2,66560,67584,Note_on,2,53,0
2,67584,68608,Note_on,2,48,0
2,68608,69120,Note_on,2,52,0
2,68608,69120,Note_on,2,55,0
2,69632,70144,Note_on,2,52,0
2,69632,70144,Note_on,2,55,0
2,70656,71680,Note_on,2,48,0
2,71680,72192,Note_on,2,52,0
2,71680,72192,Note_on,2,55,0
2,72704,73216,Note_on,2,52,0
2,72704,73216,Note_on,2,55,0
2,73728,79531,Note_on,2,48,0
