track,time,event,note,velocity
1,0,Note_on,64,112
1,0,Note_off,64,63
1,4,Note_on,64,112
1,4,Note_off,64,63
1,6,Note_on,64,112
1,6,Note_off,64,63
1,6,Note_on,64,112
1,6,Note_off,64,63
1,6,Note_on,64,112
1,6,Note_off,64,63
1,6,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,64,112
1,8,Note_off,64,63
1,8,Note_on,45,112
1,9,Note_off,45,63
1,9,Note_on,48,112
1,9,Note_on,52,112
1,10,Note_off,48,63
1,10,Note_off,52,63
1,10,Note_on,40,112
1,10,Note_off,40,63
1,11,Note_on,48,112
1,11,Note_on,52,112
1,11,Note_off,48,63
1,11,Note_off,52,63
1,11,Note_on,40,112
1,11,Note_off,40,63
1,11,Note_on,42,112
1,11,Note_off,42,63
1,11,Note_on,44,112
1,11,Note_off,44,63
1,11,Note_on,33,112
1,11,Note_on,45,112
1,12,Note_off,33,63
1,12,Note_off,45,63
1,12,Note_on,48,112
1,12,Note_on,52,112
1,12,Note_off,48,63
1,12,Note_off,52,63
1,13,Note_on,40,112
1,13,Note_off,40,63
1,13,Note_on,48,112
1,13,Note_on,52,112
1,14,Note_off,48,63
1,14,Note_off,52,63
1,14,Note_on,64,112
1,14,Note_on,45,112
1,14,Note_off,64,63
1,14,Note_on,64,112
1,14,Note_off,45,63
1,14,Note_off,64,63
1,14,Note_on,64,112
1,14,Note_on,48,112
1,14,Note_on,52,112
1,14,Note_off,64,63
1,14,Note_off,48,63
1,14,Note_off,52,63
1,14,Note_on,64,112
1,15,Note_off,64,63
1,15,Note_on,64,112
1,15,Note_on,40,112
1,15,Note_off,64,63
1,15,Note_off,40,63
1,15,Note_on,64,112
1,15,Note_off,64,63
1,15,Note_on,64,112
1,15,Note_on,48,112
1,15,Note_on,52,112
1,16,Note_off,64,63
1,16,Note_off,48,63
1,16,Note_off,52,63
1,16,Note_on,64,112
1,16,Note_off,64,63
1,16,Note_on,64,112
1,16,Note_on,45,112
1,16,Note_off,64,63
1,16,Note_off,45,63
1,16,Note_on,64,112
1,17,Note_off,64,63
1,17,Note_on,64,112
1,17,Note_on,48,112
1,17,Note_on,52,112
1,17,Note_off,64,63
1,17,Note_off,48,63
1,17,Note_off,52,63
1,17,Note_on,64,112
1,17,Note_off,64,63
1,17,Note_on,64,112
1,17,Note_on,40,112
1,17,Note_off,64,63
1,17,Note_off,40,63
1,17,Note_on,64,112
1,18,Note_off,64,63
1,18,Note_on,64,112
1,18,Note_on,48,112
1,18,Note_on,52,112
1,18,Note_off,64,63
1,18,Note_off,48,63
1,18,Note_off,52,63
1,18,Note_on,64,112
1,18,Note_off,64,63
1,18,Note_on,64,112
1,18,Note_on,45,112
1,18,Note_off,64,63
1,18,Note_off,45,63
1,18,Note_on,64,112
1,19,Note_off,64,63
1,19,Note_on,64,112
1,19,Note_on,48,112
1,19,Note_on,52,112
1,19,Note_off,64,63
1,19,Note_off,48,63
1,19,Note_off,52,63
1,19,Note_on,64,112
1,19,Note_off,64,63
1,19,Note_on,64,112
1,19,Note_on,40,112
1,19,Note_off,64,63
1,19,Note_off,40,63
1,19,Note_on,65,112
1,20,Note_off,65,63
1,20,Note_on,64,112
1,20,Note_on,48,112
1,20,Note_on,52,112
1,20,Note_off,64,63
1,20,Note_off,48,63
1,20,Note_off,52,63
1,20,Note_on,63,112
1,20,Note_off,63,63
1,20,Note_on,64,112
1,20,Note_on,45,112
1,20,Note_off,64,63
1,20,Note_off,45,63
1,20,Note_on,69,112
1,20,Note_on,48,112
1,20,Note_on,52,112
1,21,Note_off,69,63
1,21,Note_off,48,63
1,21,Note_off,52,63
1,21,Note_on,72,112
1,21,Note_on,40,112
1,21,Note_off,40,63
1,21,Note_off,72,63
1,21,Note_on,48,112
1,21,Note_on,52,112
1,21,Note_off,48,63
1,21,Note_off,52,63
1,21,Note_on,74,112
1,21,Note_on,44,112
1,22,Note_off,74,63
1,22,Note_off,44,63
1,22,Note_on,74,112
1,22,Note_off,74,63
1,22,Note_on,74,112
1,22,Note_on,50,112
1,22,Note_on,52,112
1,22,Note_off,74,63
1,22,Note_off,50,63
1,22,Note_off,52,63
1,22,Note_on,74,112
1,22,Note_off,74,63
1,22,Note_on,74,112
1,22,Note_on,40,112
1,23,Note_off,74,63
1,23,Note_off,40,63
1,23,Note_on,72,112
1,23,Note_off,72,63
1,23,Note_on,71,112
1,23,Note_on,50,112
1,23,Note_on,52,112
1,23,Note_off,71,63
1,23,Note_off,50,63
1,23,Note_off,52,63
1,23,Note_on,74,112
1,23,Note_off,74,63
1,23,Note_on,72,112
1,23,Note_on,45,112
1,23,Note_off,72,63
1,23,Note_off,45,63
1,23,Note_on,72,112
1,24,Note_off,72,63
1,24,Note_on,72,112
1,24,Note_on,48,112
1,24,Note_on,52,112
1,24,Note_off,72,63
1,24,Note_off,48,63
1,24,Note_off,52,63
1,24,Note_on,72,112
1,24,Note_off,72,63
1,24,Note_on,72,112
1,24,Note_on,40,112
1,24,Note_off,72,63
1,24,Note_off,40,63
1,24,Note_on,71,112
1,25,Note_off,71,63
1,25,Note_on,69,112
1,25,Note_on,48,112
1,25,Note_on,52,112
1,25,Note_off,69,63
1,25,Note_off,48,63
1,25,Note_off,52,63
1,25,Note_on,72,112
1,25,Note_off,72,63
1,25,Note_on,71,112
1,25,Note_on,47,112
1,25,Note_off,71,63
1,25,Note_off,47,63
1,25,Note_on,71,112
1,25,Note_off,71,63
1,25,Note_on,71,112
1,25,Note_on,51,112
1,25,Note_on,57,112
1,26,Note_off,71,63
1,26,Note_off,51,63
1,26,Note_off,57,63
1,26,Note_on,71,112
1,26,Note_off,71,63
1,26,Note_on,66,112
1,26,Note_on,42,112
1,26,Note_off,66,63
1,26,Note_off,42,63
1,26,Note_on,71,112
1,26,Note_on,51,112
1,26,Note_on,57,112
1,26,Note_off,71,63
1,26,Note_off,51,63
1,26,Note_off,57,63
1,26,Note_on,68,112
1,26,Note_on,52,112
1,26,Note_on,56,112
1,27,Note_off,68,63
1,27,Note_off,52,63
1,27,Note_off,56,63
1,27,Note_on,28,112
1,27,Note_on,40,112
1,27,Note_off,28,63
1,27,Note_off,40,63
1,27,Note_on,42,112
1,27,Note_off,42,63
1,27,Note_on,44,112
1,27,Note_off,44,63
1,27,Note_on,64,112
1,27,Note_on,45,112
1,28,Note_off,64,63
1,28,Note_off,45,63
1,28,Note_on,64,112
1,28,Note_off,64,63
1,28,Note_on,64,112
1,28,Note_on,48,112
1,28,Note_on,52,112
1,28,Note_off,64,63
1,28,Note_off,48,63
1,28,Note_off,52,63
1,28,Note_on,64,112
1,28,Note_off,64,63
1,28,Note_on,64,112
1,28,Note_on,40,112
1,28,Note_off,64,63
1,28,Note_off,40,63
1,28,Note_on,64,112
1,28,Note_off,64,63
1,28,Note_on,64,112
1,28,Note_on,48,112
1,28,Note_on,52,112
1,29,Note_off,64,63
1,29,Note_off,48,63
1,29,Note_off,52,63
1,29,Note_on,64,112
1,29,Note_off,64,63
1,29,Note_on,64,112
1,29,Note_on,45,112
1,29,Note_off,64,63
1,29,Note_off,45,63
1,29,Note_on,64,112
1,29,Note_off,64,63
1,29,Note_on,64,112
1,29,Note_on,48,112
1,29,Note_on,52,112
1,29,Note_off,64,63
1,29,Note_off,48,63
1,29,Note_off,52,63
1,29,Note_on,64,112
1,29,Note_off,64,63
1,29,Note_on,64,112
1,29,Note_on,40,112
1,30,Note_off,64,63
1,30,Note_off,40,63
1,30,Note_on,64,112
1,30,Note_off,64,63
1,30,Note_on,64,112
1,30,Note_on,48,112
1,30,Note_on,52,112
1,30,Note_off,64,63
1,30,Note_off,48,63
1,30,Note_off,52,63
1,30,Note_on,64,112
1,30,Note_off,64,63
1,30,Note_on,64,112
1,30,Note_on,45,112
1,30,Note_off,64,63
1,30,Note_off,45,63
1,30,Note_on,65,112
1,30,Note_off,65,63
1,30,Note_on,64,112
1,30,Note_on,48,112
1,30,Note_on,52,112
1,30,Note_off,64,63
1,30,Note_off,48,63
1,30,Note_off,52,63
1,30,Note_on,63,112
1,31,Note_off,63,63
1,31,Note_on,64,112
1,31,Note_on,40,112
1,31,Note_off,64,63
1,31,Note_off,40,63
1,31,Note_on,69,112
1,31,Note_on,48,112
1,31,Note_on,52,112
1,31,Note_off,69,63
1,31,Note_off,48,63
1,31,Note_off,52,63
1,31,Note_on,72,112
1,31,Note_off,72,63
1,31,Note_on,76,112
1,31,Note_on,45,112
1,31,Note_off,76,63
1,31,Note_off,45,63
1,31,Note_on,81,112
1,31,Note_on,48,112
1,31,Note_on,52,112
1,32,Note_off,81,63
1,32,Note_off,48,63
1,32,Note_off,52,63
1,32,Note_on,84,112
1,32,Note_on,40,112
1,32,Note_off,40,63
1,32,Note_off,84,63
1,32,Note_on,48,112
1,32,Note_on,52,112
1,32,Note_off,48,63
1,32,Note_off,52,63
1,32,Note_on,86,112
1,32,Note_on,50,112
1,32,Note_off,86,63
1,32,Note_off,50,63
1,32,Note_on,84,112
1,32,Note_off,84,63
1,32,Note_on,83,112
1,33,Note_on,53,112
1,33,Note_on,57,112
1,33,Note_off,83,63
1,33,Note_off,53,63
1,33,Note_off,57,63
1,33,Note_on,86,112
1,33,Note_off,86,63
1,33,Note_on,84,112
1,33,Note_on,48,112
1,33,Note_off,84,63
1,33,Note_off,48,63
1,33,Note_on,83,112
1,33,Note_off,83,63
1,33,Note_on,81,112
1,33,Note_on,52,112
1,33,Note_on,57,112
1,33,Note_off,81,63
1,33,Note_off,52,63
1,33,Note_off,57,63
1,33,Note_on,84,112
1,33,Note_off,84,63
1,33,Note_on,83,112
1,33,Note_on,47,112
1,33,Note_off,83,63
1,33,Note_off,47,63
1,33,Note_on,81,112
1,34,Note_off,81,63
1,34,Note_on,80,112
1,34,Note_on,50,112
1,34,Note_on,53,112
1,34,Note_off,80,63
1,34,Note_off,50,63
1,34,Note_off,53,63
1,34,Note_on,83,112
1,34,Note_off,83,63
1,34,Note_on,81,112
1,34,Note_on,45,112
1,34,Note_off,81,63
1,34,Note_off,45,63
1,34,Note_on,76,112
1,34,Note_off,76,63
1,34,Note_on,72,112
1,34,Note_on,48,112
1,34,Note_on,52,112
1,34,Note_off,72,63
1,34,Note_off,48,63
1,34,Note_off,52,63
1,34,Note_on,69,112
1,34,Note_off,69,63
1,34,Note_on,77,112
1,34,Note_on,40,112
1,34,Note_on,52,112
1,34,Note_off,77,63
1,34,Note_off,40,63
1,34,Note_off,52,63
1,34,Note_on,76,112
1,35,Note_off,76,63
1,35,Note_on,74,112
1,35,Note_on,42,112
1,35,Note_on,54,112
1,35,Note_off,74,63
1,35,Note_off,42,63
1,35,Note_off,54,63
1,35,Note_on,72,112
1,35,Note_off,72,63
1,35,Note_on,71,112
1,35,Note_on,44,112
1,35,Note_on,56,112
1,35,Note_off,71,63
1,35,Note_off,44,63
1,35,Note_off,56,63
1,35,Note_on,69,112
1,35,Note_off,69,63
1,35,Note_on,68,112
1,35,Note_on,40,112
1,35,Note_on,52,112
1,35,Note_off,68,63
1,35,Note_off,40,63
1,35,Note_off,52,63
1,35,Note_on,71,112
1,35,Note_off,71,63
1,35,Note_on,69,112
1,35,Note_on,45,112
1,35,Note_on,57,112
1,36,Note_off,69,63
1,36,Note_off,45,63
1,36,Note_off,57,63
1,36,Note_on,28,112
1,36,Note_on,40,112
1,36,Note_off,28,63
1,36,Note_off,40,63
1,36,Note_on,42,112
1,36,Note_off,42,63
1,36,Note_on,44,112
1,36,Note_off,44,63
1,36,Note_on,64,112
1,36,Note_on,45,112
1,37,Note_off,64,63
1,37,Note_on,64,112
1,37,Note_off,45,63
1,37,Note_off,64,63
1,37,Note_on,64,112
1,37,Note_on,48,112
1,37,Note_on,52,112
1,37,Note_off,64,63
1,37,Note_off,48,63
1,37,Note_off,52,63
1,37,Note_on,64,112
1,37,Note_off,64,63
1,37,Note_on,64,112
1,37,Note_on,40,112
1,37,Note_off,64,63
1,37,Note_off,40,63
1,37,Note_on,64,112
1,37,Note_off,64,63
1,37,Note_on,64,112
1,37,Note_on,48,112
1,37,Note_on,52,112
1,37,Note_off,64,63
1,37,Note_off,48,63
1,37,Note_off,52,63
1,37,Note_on,64,112
1,37,Note_off,64,63
1,37,Note_on,64,112
1,37,Note_on,45,112
1,37,Note_off,64,63
1,37,Note_off,45,63
1,37,Note_on,64,112
1,37,Note_off,64,63
1,37,Note_on,64,112
1,37,Note_on,48,112
1,37,Note_on,52,112
1,38,Note_off,64,63
1,38,Note_off,48,63
1,38,Note_off,52,63
1,38,Note_on,64,112
1,38,Note_off,64,63
1,38,Note_on,64,112
1,38,Note_on,40,112
1,38,Note_off,64,63
1,38,Note_off,40,63
1,38,Note_on,64,112
1,38,Note_off,64,63
1,38,Note_on,64,112
1,38,Note_on,48,112
1,38,Note_on,52,112
1,38,Note_off,64,63
1,38,Note_off,48,63
1,38,Note_off,52,63
1,38,Note_on,64,112
1,38,Note_off,64,63
1,38,Note_on,64,112
1,38,Note_on,45,112
1,38,Note_off,64,63
1,38,Note_off,45,63
1,38,Note_on,64,112
1,38,Note_off,64,63
1,38,Note_on,64,112
1,38,Note_on,48,112
1,38,Note_on,52,112
1,38,Note_off,64,63
1,38,Note_off,48,63
1,38,Note_off,52,63
1,38,Note_on,64,112
1,39,Note_off,64,63
1,39,Note_on,64,112
1,39,Note_on,40,112
1,39,Note_off,64,63
1,39,Note_off,40,63
1,39,Note_on,65,112
1,39,Note_off,65,63
1,39,Note_on,64,112
1,39,Note_on,48,112
1,39,Note_on,52,112
1,39,Note_off,64,63
1,39,Note_off,48,63
1,39,Note_off,52,63
1,39,Note_on,63,112
1,39,Note_off,63,63
1,39,Note_on,64,112
1,39,Note_on,45,112
1,39,Note_off,64,63
1,39,Note_off,45,63
1,39,Note_on,69,112
1,39,Note_on,48,112
1,39,Note_on,52,112
1,39,Note_off,69,63
1,39,Note_off,48,63
1,39,Note_off,52,63
1,39,Note_on,72,112
1,39,Note_on,40,112
1,39,Note_off,40,63
1,40,Note_off,72,63
1,40,Note_on,48,112
1,40,Note_on,52,112
1,40,Note_off,48,63
1,40,Note_off,52,63
1,40,Note_on,74,112
1,40,Note_on,47,112
1,40,Note_off,74,63
1,40,Note_off,47,63
1,40,Note_on,74,112
1,40,Note_off,74,63
1,40,Note_on,74,112
1,40,Note_on,50,112
1,40,Note_on,52,112
1,40,Note_off,74,63
1,40,Note_off,50,63
1,40,Note_off,52,63
1,40,Note_on,74,112
1,40,Note_off,74,63
1,40,Note_on,74,112
1,40,Note_on,40,112
1,40,Note_off,74,63
1,40,Note_off,40,63
1,40,Note_on,72,112
1,40,Note_off,72,63
1,40,Note_on,71,112
1,40,Note_on,50,112
1,40,Note_on,52,112
1,40,Note_off,71,63
1,40,Note_off,50,63
1,40,Note_off,52,63
1,40,Note_on,74,112
1,41,Note_off,74,63
1,41,Note_on,72,112
1,41,Note_on,45,112
1,41,Note_off,72,63
1,41,Note_off,45,63
1,41,Note_on,72,112
1,41,Note_off,72,63
1,41,Note_on,72,112
1,41,Note_on,48,112
1,41,Note_on,52,112
1,41,Note_off,72,63
1,41,Note_off,48,63
1,41,Note_off,52,63
1,41,Note_on,72,112
1,41,Note_off,72,63
1,41,Note_on,72,112
1,41,Note_on,40,112
1,41,Note_off,72,63
1,41,Note_off,40,63
1,41,Note_on,71,112
1,41,Note_off,71,63
1,41,Note_on,69,112
1,41,Note_on,48,112
1,41,Note_on,52,112
1,41,Note_off,69,63
1,41,Note_off,48,63
1,41,Note_off,52,63
1,41,Note_on,72,112
1,41,Note_off,72,63
1,41,Note_on,71,112
1,41,Note_on,47,112
1,42,Note_off,71,63
1,42,Note_off,47,63
1,42,Note_on,71,112
1,42,Note_off,71,63
1,42,Note_on,71,112
1,42,Note_on,51,112
1,42,Note_on,54,112
1,42,Note_off,71,63
1,42,Note_off,51,63
1,42,Note_off,54,63
1,42,Note_on,71,112
1,42,Note_off,71,63
1,42,Note_on,66,112
1,42,Note_on,42,112
1,42,Note_off,66,63
1,42,Note_off,42,63
1,42,Note_on,71,112
1,42,Note_on,51,112
1,42,Note_on,54,112
1,42,Note_off,71,63
1,42,Note_off,51,63
1,42,Note_off,54,63
1,42,Note_on,68,112
1,42,Note_on,52,112
1,42,Note_on,56,112
1,42,Note_off,68,63
1,42,Note_off,52,63
1,42,Note_off,56,63
1,43,Note_on,28,112
1,43,Note_on,40,112
1,43,Note_off,28,63
1,43,Note_off,40,63
1,43,Note_on,42,112
1,43,Note_off,42,63
1,43,Note_on,44,112
1,43,Note_off,44,63
1,43,Note_on,64,112
1,43,Note_on,45,112
1,43,Note_off,64,63
1,43,Note_off,45,63
1,43,Note_on,64,112
1,43,Note_off,64,63
1,43,Note_on,64,112
1,43,Note_on,48,112
1,43,Note_on,52,112
1,43,Note_off,64,63
1,43,Note_off,48,63
1,43,Note_off,52,63
1,43,Note_on,64,112
1,44,Note_off,64,63
1,44,Note_on,64,112
1,44,Note_on,40,112
1,44,Note_off,64,63
1,44,Note_off,40,63
1,44,Note_on,64,112
1,44,Note_off,64,63
1,44,Note_on,64,112
1,44,Note_on,48,112
1,44,Note_on,52,112
1,44,Note_off,64,63
1,44,Note_off,48,63
1,44,Note_off,52,63
1,44,Note_on,64,112
1,44,Note_off,64,63
1,44,Note_on,64,112
1,44,Note_on,45,112
1,44,Note_off,64,63
1,44,Note_off,45,63
1,44,Note_on,64,112
1,44,Note_off,64,63
1,44,Note_on,64,112
1,44,Note_on,48,112
1,44,Note_on,52,112
1,44,Note_off,64,63
1,44,Note_off,48,63
1,44,Note_off,52,63
1,44,Note_on,64,112
1,44,Note_off,64,63
1,44,Note_on,64,112
1,44,Note_on,40,112
1,44,Note_off,64,63
1,44,Note_off,40,63
1,44,Note_on,64,112
1,45,Note_off,64,63
1,45,Note_on,64,112
1,45,Note_on,48,112
1,45,Note_on,52,112
1,45,Note_off,64,63
1,45,Note_off,48,63
1,45,Note_off,52,63
1,45,Note_on,64,112
1,45,Note_off,64,63
1,45,Note_on,64,112
1,45,Note_on,45,112
1,45,Note_off,64,63
1,45,Note_off,45,63
1,45,Note_on,65,112
1,45,Note_off,65,63
1,45,Note_on,64,112
1,45,Note_on,48,112
1,45,Note_on,52,112
1,45,Note_off,64,63
1,45,Note_off,48,63
1,45,Note_off,52,63
1,45,Note_on,63,112
1,45,Note_off,63,63
1,45,Note_on,64,112
1,45,Note_on,40,112
1,45,Note_off,64,63
1,45,Note_off,40,63
1,45,Note_on,69,112
1,45,Note_on,48,112
1,45,Note_on,52,112
1,46,Note_off,69,63
1,46,Note_off,48,63
1,46,Note_off,52,63
1,46,Note_on,72,112
1,46,Note_off,72,63
1,46,Note_on,76,112
1,46,Note_on,45,112
1,46,Note_off,76,63
1,46,Note_off,45,63
1,46,Note_on,81,112
1,46,Note_on,48,112
1,46,Note_on,52,112
1,46,Note_off,81,63
1,46,Note_off,48,63
1,46,Note_off,52,63
1,46,Note_on,84,112
1,46,Note_on,40,112
1,46,Note_off,40,63
1,46,Note_off,84,63
1,46,Note_on,48,112
1,46,Note_on,52,112
1,46,Note_off,48,63
1,46,Note_off,52,63
1,46,Note_on,86,112
1,46,Note_on,50,112
1,47,Note_off,86,63
1,47,Note_off,50,63
1,47,Note_on,84,112
1,47,Note_off,84,63
1,47,Note_on,83,112
1,47,Note_on,53,112
1,47,Note_on,57,112
1,47,Note_off,83,63
1,47,Note_off,53,63
1,47,Note_off,57,63
1,47,Note_on,86,112
1,47,Note_off,86,63
1,47,Note_on,84,112
1,47,Note_on,48,112
1,47,Note_off,84,63
1,47,Note_off,48,63
1,47,Note_on,83,112
1,47,Note_off,83,63
1,47,Note_on,81,112
1,47,Note_on,52,112
1,47,Note_on,57,112
1,47,Note_off,81,63
1,47,Note_off,52,63
