track,time,event,note,velocity
1,0,Note_on,76,71
1,1,Note_on,76,0
1,1,Note_on,75,38
1,1,Note_on,75,0
1,1,Note_on,76,57
1,1,Note_on,76,0
1,1,Note_on,75,70
1,1,Note_on,75,0
1,1,Note_on,76,76
1,1,Note_on,76,0
1,1,Note_on,71,76
1,2,Note_on,71,0
1,2,Note_on,74,76
1,2,Note_on,74,0
1,2,Note_on,72,83
1,2,Note_on,72,0
1,2,Note_on,69,89
1,3,Note_on,69,0
1,3,Note_on,60,76
1,3,Note_on,60,0
1,3,Note_on,64,76
1,3,Note_on,64,0
1,3,Note_on,69,76
1,3,Note_on,69,0
1,3,Note_on,71,83
1,4,Note_on,71,0
1,4,Note_on,64,76
1,4,Note_on,64,0
1,4,Note_on,68,76
1,4,Note_on,68,0
1,4,Note_on,71,76
1,4,Note_on,71,0
1,4,Note_on,72,83
1,5,Note_on,72,0
1,5,Note_on,64,76
1,5,Note_on,64,0
1,5,Note_on,76,76
1,5,Note_on,76,0
1,5,Note_on,75,64
1,6,Note_on,75,0
1,6,Note_on,76,76
1,6,Note_on,76,0
1,6,Note_on,75,70
1,6,Note_on,75,0
1,6,Note_on,76,76
1,6,Note_on,76,0
1,6,Note_on,71,76
1,6,Note_on,71,0
1,6,Note_on,74,76
1,6,Note_on,74,0
1,6,Note_on,72,76
1,7,Note_on,72,0
1,7,Note_on,69,76
1,7,Note_on,69,0
1,7,Note_on,60,76
1,7,Note_on,60,0
1,7,Note_on,64,76
1,8,Note_on,64,0
1,8,Note_on,69,76
1,8,Note_on,69,0
1,8,Note_on,71,83
1,8,Note_on,71,0
1,8,Note_on,64,76
1,8,Note_on,64,0
1,8,Note_on,72,76
1,9,Note_on,72,0
1,9,Note_on,71,76
1,9,Note_on,71,0
1,9,Note_on,69,83
1,10,Note_on,69,0
1,10,Note_on,76,71
1,10,Note_on,76,0
1,10,Note_on,75,38
1,10,Note_on,75,0
1,10,Note_on,76,57
1,10,Note_on,76,0
1,10,Note_on,75,70
1,10,Note_on,75,0
1,10,Note_on,76,76
1,11,Note_on,76,0
1,11,Note_on,71,76
1,11,Note_on,71,0
1,11,Note_on,74,76
1,11,Note_on,74,0
1,11,Note_on,72,83
1,11,Note_on,72,0
1,11,Note_on,69,89
1,12,Note_on,69,0
1,12,Note_on,60,76
1,12,Note_on,60,0
