track,time,event,note,velocity
1,0,Note_on,72,112
1,0,Note_off,72,63
1,0,Note_on,77,112
1,0,Note_off,77,63
1,0,Note_on,77,112
1,0,Note_off,77,63
1,0,Note_on,77,112
1,0,Note_off,77,63
1,0,Note_on,72,112
1,0,Note_off,72,63
1,0,Note_on,72,112
1,0,Note_off,72,63
1,0,Note_on,72,112
1,0,Note_off,72,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,77,112
1,0,Note_off,77,63
1,0,Note_on,80,112
1,0,Note_off,80,63
1,0,Note_on,80,112
1,0,Note_off,80,63
1,0,Note_on,80,112
1,0,Note_off,80,63
1,0,Note_on,80,112
1,0,Note_off,80,63
1,0,Note_on,72,112
1,0,Note_off,72,63
1,0,Note_on,72,112
1,0,Note_off,72,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,77,112
1,0,Note_off,77,63
1,0,Note_on,65,112
1,0,Note_off,65,63
1,0,Note_on,65,112
1,0,Note_off,65,63
1,0,Note_on,77,112
1,0,Note_off,77,63
1,0,Note_on,77,112
1,0,Note_off,77,63
1,0,Note_on,77,112
1,0,Note_off,77,63
1,0,Note_on,79,112
1,0,Note_off,79,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,77,112
1,0,Note_off,77,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,75,112
1,0,Note_off,75,63
1,0,Note_on,74,112
1,0,Note_off,74,63
1,0,Note_on,72,112
1,0,Note_off,72,63
1,0,Note_on,70,112
1,0,Note_off,70,63
1,0,Note_on,68,112
1,0,Note_off,68,63
1,0,Note_on,70,112
1,0,Note_off,70,63
1,0,Note_on,68,112
1,0,Note_off,68,63
1,0,Note_on,72,112
1,0,Note_off,72,63
1,0,Note_on,70,112
1,0,Note_off,70,63
1,0,Note_on,68,112
1,1,Note_off,68,63
1,1,Note_on,65,112
1,1,Note_off,65,63
1,1,Note_on,72,112
1,1,Note_off,72,63
1,1,Note_on,72,112
1,1,Note_off,72,63
1,1,Note_on,75,112
1,1,Note_off,75,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,75,112
1,1,Note_off,75,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,75,112
1,1,Note_off,75,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,72,112
1,1,Note_off,72,63
1,1,Note_on,72,112
1,1,Note_off,72,63
1,1,Note_on,75,112
1,1,Note_off,75,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,75,112
1,1,Note_off,75,63
1,1,Note_on,75,112
1,1,Note_off,75,63
1,1,Note_on,72,112
1,1,Note_off,72,63
1,1,Note_on,72,112
1,1,Note_off,72,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,75,112
1,1,Note_off,75,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,75,112
1,1,Note_off,75,63
1,1,Note_on,77,112
1,1,Note_off,77,63
1,1,Note_on,72,112
1,1,Note_off,72,63
