track,time,event,note,velocity
1,0,Note_on,59,80
1,0,Note_on,59,0
1,0,Note_on,62,80
1,0,Note_on,62,0
1,0,Note_on,71,80
1,1,Note_on,71,0
1,1,Note_on,69,80
1,2,Note_on,69,0
1,2,Note_on,67,80
1,2,Note_on,67,0
1,2,Note_on,59,80
1,3,Note_on,59,0
1,3,Note_on,62,80
1,3,Note_on,62,0
1,3,Note_on,67,80
1,4,Note_on,67,0
1,4,Note_on,66,80
1,5,Note_on,66,0
1,5,Note_on,60,80
1,6,Note_on,60,0
1,6,Note_on,62,80
1,6,Note_on,62,0
1,6,Note_on,72,80
1,7,Note_on,72,0
1,7,Note_on,71,80
1,8,Note_on,71,0
1,8,Note_on,69,80
1,8,Note_on,69,0
1,8,Note_on,69,80
1,9,Note_on,69,0
1,9,Note_on,67,80
1,9,Note_on,67,0
1,9,Note_on,64,80
1,10,Note_on,64,0
1,10,Note_on,62,80
1,11,Note_on,62,0
1,11,Note_on,59,80
1,12,Note_on,59,0
1,12,Note_on,62,80
1,12,Note_on,62,0
1,12,Note_on,71,80
1,13,Note_on,71,0
1,13,Note_on,69,80
1,13,Note_on,69,0
1,14,Note_on,67,80
1,14,Note_on,67,0
1,14,Note_on,59,80
1,15,Note_on,59,0
1,15,Note_on,62,80
1,15,Note_on,62,0
1,15,Note_on,67,80
1,15,Note_on,67,0
1,15,Note_on,66,80
1,16,Note_on,66,0
1,16,Note_on,64,80
1,17,Note_on,64,0
1,17,Note_on,62,80
1,17,Note_on,62,0
1,17,Note_on,67,80
1,18,Note_on,67,0
1,18,Note_on,72,80
1,18,Note_on,72,0
1,18,Note_on,71,80
1,19,Note_on,71,0
1,19,Note_on,67,80
1,20,Note_on,67,0
1,20,Note_on,69,80
1,20,Note_on,69,0
1,20,Note_on,64,80
1,21,Note_on,64,0
1,21,Note_on,66,80
1,21,Note_on,66,0
1,21,Note_on,67,80
1,23,Note_on,67,0
