track,start,end,event,channel,note,velocity,name
1,0,2,Note_on,1,64,77,E4
1,2,3,Note_on,1,62,64,D4
1,3,5,Note_on,1,60,70,C4
1,5,7,Note_on,1,59,60,B3
1,7,8,Note_on,1,57,63,A3
1,8,10,Note_on,1,55,56,G3
1,10,12,Note_on,1,57,70,A3
1,12,13,Note_on,1,59,60,B3
1,13,15,Note_on,1,76,80,E5
1,15,16,Note_on,1,74,80,D5
1,16,17,Note_on,1,65,80,F4
1,17,18,Note_on,1,72,80,C5
1,18,19,Note_on,1,71,80,B4
1,19,20,Note_on,1,62,80,D4
1,20,22,Note_on,1,69,80,A4
1,22,22,Note_on,1,67,80,G4
1,22,23,Note_on,1,64,80,E4
1,23,25,Note_on,1,69,82,A4
1,25,26,Note_on,1,71,80,B4
1,26,27,Note_on,1,65,80,F4
1,27,28,Note_on,1,72,80,C5
1,28,29,Note_on,1,71,80,B4
1,29,30,Note_on,1,65,80,F4
1,30,31,Note_on,1,72,80,C5
1,31,32,Note_on,1,76,80,E5
1,32,32,Note_on,1,79,80,G5
1,32,33,Note_on,1,81,80,A5
1,33,34,Note_on,1,77,80,F5
1,34,35,Note_on,1,72,80,C5
1,35,36,Note_on,1,76,80,E5
1,36,37,Note_on,1,67,80,G4
1,37,37,Note_on,1,65,80,F4
1,37,38,Note_on,1,72,80,C5
1,38,39,Note_on,1,72,72,C5
1,39,40,Note_on,1,72,69,C5
1,40,40,Note_on,1,71,64,B4
1,40,40,Note_on,1,72,80,C5
1,40,41,Note_on,1,71,80,B4
1,41,41,Note_on,1,72,80,C5
1,41,42,Note_on,1,64,80,E4
1,42,42,Note_on,1,67,80,G4
1,42,43,Note_on,1,71,80,B4
1,43,44,Note_on,1,72,80,C5
1,44,45,Note_on,1,76,80,E5
1,45,45,Note_on,1,79,80,G5
1,45,46,Note_on,1,76,80,E5
1,46,46,Note_on,1,79,80,G5
1,46,47,Note_on,1,81,80,A5
1,47,47,Note_on,1,77,80,F5
1,47,47,Note_on,1,76,80,E5
1,47,48,Note_on,1,74,80,D5
1,48,48,Note_on,1,77,80,F5
1,48,49,Note_on,1,76,80,E5
1,49,49,Note_on,1,74,80,D5
1,49,50,Note_on,1,72,80,C5
1,50,50,Note_on,1,71,80,B4
1,50,50,Note_on,1,69,80,A4
1,50,51,Note_on,1,65,80,F4
1,51,52,Note_on,1,72,80,C5
1,52,52,Note_on,1,72,80,C5
1,52,52,Note_on,1,65,80,F4
1,52,53,Note_on,1,72,80,C5
1,53,53,Note_on,1,71,80,B4
1,53,54,Note_on,1,72,80,C5
1,54,54,Note_on,1,71,79,B4
1,54,55,Note_on,1,72,77,C5
1,55,55,Note_on,1,65,80,F4
1,55,55,Note_on,1,67,80,G4
1,55,56,Note_on,1,59,80,B3
1,56,56,Note_on,1,71,80,B4
1,56,57,Note_on,1,65,80,F4
1,57,57,Note_on,1,72,80,C5
1,57,58,Note_on,1,76,80,E5
1,58,59,Note_on,1,79,80,G5
1,59,59,Note_on,1,76,80,E5
1,59,60,Note_on,1,79,80,G5
1,60,60,Note_on,1,81,95,A5
1,60,60,Note_on,1,77,80,F5
1,60,61,Note_on,1,76,80,E5
1,61,61,Note_on,1,74,80,D5
1,61,62,Note_on,1,77,80,F5
1,62,62,Note_on,1,76,80,E5
1,62,62,Note_on,1,74,80,D5
1,62,63,Note_on,1,72,80,C5
1,63,63,Note_on,1,71,80,B4
1,63,64,Note_on,1,69,80,A4
1,64,64,Note_on,1,67,80,G4
1,64,65,Note_on,1,65,74,F4
1,65,65,Note_on,1,72,73,C5
1,65,66,Note_on,1,72,80,C5
1,66,66,Note_on,1,62,62,D4
1,66,66,Note_on,1,71,80,B4
1,66,66,Note_on,1,74,68,D5
1,66,67,Note_on,1,67,80,G4
1,67,67,Note_on,1,76,80,E5
1,67,67,Note_on,1,67,70,G4
1,67,68,Note_on,1,76,80,E5
1,68,68,Note_on,1,72,85,C5
1,68,69,Note_on,1,74,82,D5
1,69,69,Note_on,1,76,80,E5
1,69,69,Note_on,1,77,93,F5
1,69,70,Note_on,1,76,89,E5
1,70,70,Note_on,1,74,86,D5
1,70,70,Note_on,1,64,83,E4
1,70,71,Note_on,1,74,90,D5
1,71,71,Note_on,1,72,89,C5
1,71,71,Note_on,1,71,89,B4
1,71,72,Note_on,1,72,85,C5
1,72,72,Note_on,1,71,95,B4
1,72,72,Note_on,1,67,87,G4
1,72,72,Note_on,1,64,86,E4
1,73,73,Note_on,1,67,80,G4
1,73,73,Note_on,1,60,83,C4
1,73,74,Note_on,1,69,91,A4
1,74,74,Note_on,1,72,92,C5
1,74,75,Note_on,1,69,82,A4
1,75,75,Note_on,1,77,97,F5
1,75,75,Note_on,1,76,94,E5
1,75,76,Note_on,1,74,90,D5
1,76,76,Note_on,1,72,80,C5
1,77,77,Note_on,1,69,80,A4
1,77,78,Note_on,1,65,80,F4
1,78,78,Note_on,1,69,85,A4
1,78,78,Note_on,1,72,90,C5
1,78,78,Note_on,1,62,80,D4
1,78,79,Note_on,1,71,100,B4
1,79,80,Note_on,1,72,85,C5
1,80,80,Note_on,1,74,80,D5
1,80,80,Note_on,1,72,80,C5
1,80,80,Note_on,1,79,86,G5
1,80,81,Note_on,1,76,83,E5
1,81,81,Note_on,1,77,89,F5
1,81,81,Note_on,1,79,79,G5
1,81,81,Note_on,1,76,82,E5
1,81,82,Note_on,1,77,87,F5
1,82,82,Note_on,1,79,68,G5
1,82,82,Note_on,1,71,71,B4
1,82,82,Note_on,1,69,75,A4
1,82,82,Note_on,1,71,78,B4
1,82,83,Note_on,1,72,81,C5
1,83,83,Note_on,1,74,84,D5
1,83,83,Note_on,1,76,87,E5
1,83,83,Note_on,1,77,91,F5
1,83,84,Note_on,1,76,78,E5
1,84,84,Note_on,1,72,74,C5
1,84,84,Note_on,1,74,79,D5
1,84,84,Note_on,1,76,77,E5
1,85,85,Note_on,1,64,80,E4
1,85,85,Note_on,1,65,90,F4
1,85,85,Note_on,1,67,100,G4
1,85,85,Note_on,1,69,81,A4
1,85,86,Note_on,1,67,95,G4
1,86,86,Note_on,1,65,82,F4
1,86,86,Note_on,1,67,100,G4
1,86,86,Note_on,1,72,82,C5
1,86,86,Note_on,1,71,94,B4
1,86,87,Note_on,1,72,84,C5
1,87,87,Note_on,1,69,87,A4
1,87,87,Note_on,1,72,81,C5
1,87,87,Note_on,1,71,77,B4
1,87,88,Note_on,1,69,86,A4
1,88,88,Note_on,1,67,76,G4
1,88,88,Note_on,1,65,71,F4
1,88,89,Note_on,1,67,69,G4
1,89,89,Note_on,1,65,73,F4
1,89,89,Note_on,1,64,77,E4
1,89,89,Note_on,1,65,81,F4
1,89,89,Note_on,1,67,93,G4
1,89,90,Note_on,1,69,86,A4
1,90,90,Note_on,1,71,89,B4
1,90,90,Note_on,1,72,93,C5
1,90,90,Note_on,1,69,86,A4
1,90,91,Note_on,1,72,84,C5
1,91,91,Note_on,1,71,72,B4
1,91,91,Note_on,1,72,91,C5
1,91,91,Note_on,1,71,79,B4
1,91,92,Note_on,1,72,74,C5
1,92,92,Note_on,1,71,69,B4
1,92,92,Note_on,1,69,74,A4
1,92,92,Note_on,1,71,79,B4
1,92,92,Note_on,1,72,84,C5
1,92,93,Note_on,1,74,93,D5
1,93,93,Note_on,1,76,88,E5
1,93,93,Note_on,1,77,93,F5
1,93,93,Note_on,1,79,99,G5
1,93,94,Note_on,1,79,120,G5
1,94,94,Note_on,1,76,91,E5
1,94,94,Note_on,1,77,83,F5
1,94,95,Note_on,1,79,100,G5
1,95,95,Note_on,1,76,91,E5
1,95,95,Note_on,1,77,82,F5
1,95,95,Note_on,1,79,111,G5
1,95,95,Note_on,1,67,80,G4
1,95,96,Note_on,1,69,84,A4
1,96,96,Note_on,1,71,88,B4
1,96,96,Note_on,1,72,110,C5
1,96,96,Note_on,1,74,97,D5
1,96,96,Note_on,1,76,101,E5
1,96,97,Note_on,1,77,105,F5
1,97,97,Note_on,1,76,123,E5
1,97,97,Note_on,1,72,94,C5
1,97,97,Note_on,1,74,86,D5
1,97,98,Note_on,1,76,110,E5
1,98,98,Note_on,1,60,93,C4
1,98,98,Note_on,1,65,88,F4
1,98,99,Note_on,1,67,100,G4
1,99,99,Note_on,1,69,100,A4
1,99,99,Note_on,1,67,110,G4
1,99,99,Note_on,1,65,95,F4
1,99,99,Note_on,1,67,91,G4
1,99,100,Note_on,1,72,115,C5
1,100,100,Note_on,1,71,91,B4
1,100,100,Note_on,1,72,110,C5
1,100,100,Note_on,1,69,110,A4
1,100,101,Note_on,1,72,97,C5
1,101,101,Note_on,1,71,80,B4
1,101,101,Note_on,1,69,89,A4
1,101,101,Note_on,1,67,78,G4
1,101,102,Note_on,1,65,72,F4
1,102,102,Note_on,1,67,90,G4
1,102,102,Note_on,1,65,75,F4
1,102,102,Note_on,1,64,79,E4
1,102,102,Note_on,1,65,83,F4
1,102,103,Note_on,1,67,101,G4
1,103,103,Note_on,1,69,91,A4
1,103,103,Note_on,1,71,95,B4
1,103,103,Note_on,1,72,99,C5
1,103,104,Note_on,1,69,114,A4
1,104,104,Note_on,1,72,100,C5
1,104,104,Note_on,1,71,90,B4
1,104,105,Note_on,1,72,105,C5
1,105,105,Note_on,1,71,88,B4
1,105,105,Note_on,1,72,80,C5
1,105,105,Note_on,1,71,96,B4
1,105,105,Note_on,1,69,76,A4
1,105,106,Note_on,1,71,73,B4
1,106,106,Note_on,1,72,70,C5
1,106,106,Note_on,1,74,74,D5
1,106,106,Note_on,1,76,64,E5
1,106,106,Note_on,1,77,60,F5
1,106,107,Note_on,1,79,57,G5
1,107,107,Note_on,1,76,68,E5
1,107,107,Note_on,1,72,72,C5
1,107,107,Note_on,1,74,64,D5
1,107,108,Note_on,1,76,90,E5
1,108,108,Note_on,1,74,80,D5
1,108,108,Note_on,1,72,63,C5
1,108,109,Note_on,1,74,88,D5
1,109,109,Note_on,1,71,66,B4
1,109,109,Note_on,1,72,72,C5
1,109,109,Note_on,1,74,78,D5
1,109,109,Note_on,1,76,88,E5
1,109,110,Note_on,1,74,76,D5
1,110,110,Note_on,1,72,72,C5
1,110,110,Note_on,1,71,68,B4
1,110,110,Note_on,1,72,100,C5
1,110,111,Note_on,1,69,80,A4
1,111,111,Note_on,1,71,66,B4
1,111,111,Note_on,1,72,95,C5
1,111,111,Note_on,1,60,65,C4
1,111,112,Note_on,1,62,72,D4
1,112,112,Note_on,1,64,85,E4
1,112,112,Note_on,1,65,73,F4
1,112,112,Note_on,1,64,78,E4
1,112,112,Note_on,1,62,82,D4
1,112,113,Note_on,1,64,87,E4
1,113,113,Note_on,1,72,100,C5
1,113,113,Note_on,1,71,80,B4
1,113,113,Note_on,1,72,95,C5
1,113,114,Note_on,1,69,95,A4
1,114,114,Note_on,1,72,80,C5
1,114,114,Note_on,1,71,70,B4
1,114,115,Note_on,1,69,95,A4
1,115,115,Note_on,1,67,83,G4
1,115,115,Note_on,1,65,70,F4
1,115,115,Note_on,1,67,90,G4
1,115,115,Note_on,1,65,80,F4
1,115,116,Note_on,1,64,70,E4
1,116,116,Note_on,1,65,75,F4
1,116,116,Note_on,1,67,90,G4
1,116,116,Note_on,1,69,81,A4
1,116,116,Note_on,1,71,77,B4
1,116,117,Note_on,1,72,74,C5
1,117,117,Note_on,1,69,95,A4
1,117,117,Note_on,1,72,80,C5
1,117,117,Note_on,1,71,71,B4
1,117,118,Note_on,1,72,95,C5
1,118,118,Note_on,1,71,80,B4
1,118,118,Note_on,1,69,67,A4
1,118,119,Note_on,1,71,74,B4
1,119,119,Note_on,1,72,71,C5
1,119,119,Note_on,1,74,76,D5
1,119,119,Note_on,1,72,82,C5
1,119,119,Note_on,1,71,85,B4
1,119,120,Note_on,1,72,81,C5
1,120,120,Note_on,1,69,76,A4
1,120,120,Note_on,1,71,72,B4
1,120,120,Note_on,1,72,80,C5
1,120,121,Note_on,1,76,59,E5
1,121,121,Note_on,1,77,66,F5
1,121,121,Note_on,1,79,72,G5
1,121,122,Note_on,1,76,55,E5
1,122,122,Note_on,1,71,60,B4
1,122,122,Note_on,1,72,69,C5
