track,start,end,event,channel,note,velocity,name
1,0,0,Note_on,1,64,63,E4
1,4,4,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,6,Note_on,1,64,63,E4
1,6,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,7,Note_on,1,64,63,E4
1,7,8,Note_on,1,45,63,A2
1,8,8,Note_on,1,48,63,C3
1,8,8,Note_on,1,52,63,E3
1,9,9,Note_on,1,40,63,E2
1,9,10,Note_on,1,48,63,C3
1,9,10,Note_on,1,52,63,E3
1,10,10,Note_on,1,40,63,E2
1,10,10,Note_on,1,42,63,F#2
1,10,10,Note_on,1,44,63,G#2
1,10,10,Note_on,1,33,63,A1
1,10,10,Note_on,1,45,63,A2
1,10,11,Note_on,1,48,63,C3
1,10,11,Note_on,1,52,63,E3
1,11,11,Note_on,1,40,63,E2
1,12,12,Note_on,1,48,63,C3
1,12,12,Note_on,1,52,63,E3
1,12,12,Note_on,1,64,63,E4
1,12,12,Note_on,1,45,63,A2
1,12,12,Note_on,1,64,63,E4
1,12,13,Note_on,1,64,63,E4
1,12,13,Note_on,1,48,63,C3
1,12,13,Note_on,1,52,63,E3
1,13,13,Note_on,1,64,63,E4
1,13,13,Note_on,1,64,63,E4
