track,start,end,event,channel,note,velocity,name
1,1,1,Note_on,1,60,63,C4
1,1,1,Note_on,1,60,63,C4
1,1,2,Note_on,1,62,63,D4
1,2,3,Note_on,1,60,63,C4
1,3,3,Note_on,1,65,63,F4
1,3,4,Note_on,1,64,63,E4
1,4,5,Note_on,1,60,63,C4
1,5,5,Note_on,1,60,63,C4
1,5,5,Note_on,1,62,63,D4
1,5,6,Note_on,1,60,63,C4
1,6,7,Note_on,1,67,63,G4
1,7,8,Note_on,1,65,63,F4
1,8,8,Note_on,1,60,63,C4
1,8,8,Note_on,1,60,63,C4
1,8,9,Note_on,1,72,63,C5
1,9,9,Note_on,1,69,63,A4
1,10,10,Note_on,1,65,63,F4
1,10,10,Note_on,1,65,63,F4
1,10,11,Note_on,1,64,63,E4
1,11,11,Note_on,1,62,63,D4
1,11,12,Note_on,1,70,63,B-4
1,12,12,Note_on,1,70,63,B-4
1,12,12,Note_on,1,69,63,A4
1,12,13,Note_on,1,65,63,F4
1,13,14,Note_on,1,67,63,G4
1,14,15,Note_on,1,65,63,F4
