track,time,event,note,velocity
1,0,Note_on,65,77
1,0,Note_on,53,64
1,0,Note_off,65,0
1,0,Note_on,67,85
1,1,Note_off,67,0
1,1,Note_on,69,88
1,1,Note_off,69,0
1,1,Note_on,65,78
1,2,Note_off,53,0
1,2,Note_off,65,0
1,2,Note_on,65,83
1,2,Note_on,53,70
1,2,Note_off,65,0
1,2,Note_on,67,85
1,3,Note_off,67,0
1,3,Note_on,69,86
1,4,Note_off,69,0
1,4,Note_on,65,81
1,4,Note_off,53,0
1,4,Note_off,65,0
1,4,Note_on,69,88
1,4,Note_on,53,70
1,5,Note_off,69,0
1,5,Note_on,70,87
1,5,Note_off,70,0
1,5,Note_on,72,85
1,6,Note_off,53,0
1,7,Note_off,72,0
1,7,Note_on,69,80
1,7,Note_on,53,71
1,7,Note_off,69,0
1,7,Note_on,70,89
1,8,Note_off,70,0
1,8,Note_on,72,86
1,9,Note_off,53,0
1,9,Note_off,72,0
1,9,Note_on,72,84
1,9,Note_on,48,69
1,9,Note_off,72,0
1,9,Note_on,74,88
1,9,Note_off,74,0
1,9,Note_on,72,81
1,10,Note_off,72,0
1,10,Note_on,70,80
1,10,Note_off,48,0
1,10,Note_off,70,0
1,10,Note_on,69,82
1,10,Note_on,53,74
1,10,Note_off,69,0
1,11,Note_on,65,80
1,11,Note_off,53,0
1,11,Note_off,65,0
1,11,Note_on,72,91
1,11,Note_on,48,67
1,11,Note_off,72,0
1,11,Note_on,74,86
1,12,Note_off,74,0
1,12,Note_on,72,81
1,12,Note_off,72,0
1,12,Note_on,70,82
1,12,Note_off,48,0
1,12,Note_off,70,0
1,12,Note_on,69,85
1,12,Note_on,53,71
1,13,Note_off,69,0
1,13,Note_on,65,81
1,13,Note_off,53,0
1,13,Note_off,65,0
1,13,Note_on,67,85
1,13,Note_on,48,69
1,14,Note_off,67,0
1,14,Note_on,60,76
1,14,Note_off,48,0
1,15,Note_off,60,0
1,15,Note_on,65,89
1,15,Note_on,53,75
1,16,Note_off,65,0
1,16,Note_off,53,0
1,16,Note_on,67,86
1,16,Note_on,48,69
1,16,Note_off,67,0
1,16,Note_on,60,77
1,17,Note_off,48,0
1,17,Note_off,60,0
1,17,Note_on,65,89
1,17,Note_on,53,75
1,18,Note_off,65,0
1,18,Note_off,53,0
1,18,Note_on,65,84
1,18,Note_on,53,72
1,19,Note_off,65,0
1,19,Note_on,67,87
1,19,Note_off,67,0
1,19,Note_on,69,82
1,20,Note_off,69,0
1,20,Note_on,65,80
1,20,Note_off,53,0
1,20,Note_off,65,0
1,20,Note_on,65,84
1,20,Note_on,53,70
1,21,Note_off,65,0
1,21,Note_on,67,86
1,22,Note_off,67,0
1,22,Note_on,69,89
1,22,Note_off,69,0
1,22,Note_on,65,80
1,23,Note_off,53,0
1,23,Note_off,65,0
1,23,Note_on,69,89
1,23,Note_on,53,72
1,23,Note_off,69,0
1,23,Note_on,70,86
1,24,Note_off,70,0
1,24,Note_on,72,86
1,25,Note_off,53,0
1,25,Note_off,72,0
1,25,Note_on,69,79
1,25,Note_on,53,72
1,26,Note_off,69,0
1,26,Note_on,70,87
1,26,Note_off,70,0
1,26,Note_on,72,85
1,28,Note_off,53,0
1,28,Note_off,72,0
1,28,Note_on,72,85
1,28,Note_on,48,68
1,28,Note_off,72,0
1,28,Note_on,74,86
1,28,Note_off,74,0
1,28,Note_on,72,81
1,29,Note_off,72,0
1,29,Note_on,70,81
1,29,Note_off,48,0
1,29,Note_off,70,0
1,29,Note_on,69,84
1,29,Note_on,53,73
1,29,Note_off,69,0
1,29,Note_on,65,78
1,30,Note_off,53,0
1,30,Note_off,65,0
1,30,Note_on,72,91
1,30,Note_on,48,69
1,30,Note_off,72,0
1,30,Note_on,74,84
1,31,Note_off,74,0
1,31,Note_on,72,79
1,31,Note_off,72,0
1,31,Note_on,70,79
1,31,Note_off,48,0
1,31,Note_off,70,0
1,31,Note_on,69,83
1,31,Note_on,53,72
1,32,Note_off,69,0
1,32,Note_on,65,79
1,32,Note_off,53,0
1,32,Note_off,65,0
1,32,Note_on,67,85
1,32,Note_on,48,68
1,33,Note_off,67,0
1,33,Note_on,60,76
1,34,Note_off,48,0
1,34,Note_off,60,0
1,34,Note_on,65,87
1,34,Note_on,53,74
1,35,Note_off,65,0
1,35,Note_off,53,0
1,35,Note_on,67,86
1,35,Note_on,48,68
1,35,Note_off,67,0
1,35,Note_on,60,77
1,36,Note_off,48,0
1,36,Note_off,60,0
1,36,Note_on,65,89
1,36,Note_on,53,73
1,37,Note_off,65,0
1,37,Note_off,53,0
