track,time,event,note,velocity
1,0,Note_on,60,112
1,0,Note_on,38,112
1,0,Note_off,38,63
1,0,Note_off,60,63
1,0,Note_on,60,112
1,1,Note_off,60,63
1,1,Note_on,65,112
1,1,Note_off,65,63
1,1,Note_on,67,112
1,1,Note_on,69,112
1,1,Note_off,69,63
1,2,Note_off,67,63
1,2,Note_on,67,112
1,2,Note_off,67,63
1,2,Note_on,69,112
1,3,Note_off,69,63
1,3,Note_on,69,112
1,3,Note_off,69,63
1,3,Note_on,67,112
1,5,Note_off,67,63
1,5,Note_on,65,112
1,5,Note_off,65,63
1,5,Note_on,65,112
1,6,Note_off,65,63
1,6,Note_on,64,112
1,6,Note_off,64,63
1,7,Note_on,64,112
1,7,Note_off,64,63
1,7,Note_on,62,112
1,8,Note_off,62,63
1,8,Note_on,62,112
1,9,Note_off,62,63
1,9,Note_on,60,112
1,9,Note_on,36,112
1,9,Note_off,36,63
1,10,Note_off,60,63
1,10,Note_on,41,112
1,10,Note_on,43,112
1,10,Note_on,67,112
1,10,Note_off,41,63
1,10,Note_off,43,63
1,10,Note_on,41,112
1,10,Note_on,40,112
1,10,Note_off,40,63
1,10,Note_off,41,63
1,10,Note_off,67,63
1,11,Note_on,38,112
1,11,Note_on,36,112
1,11,Note_off,36,63
1,11,Note_on,67,112
1,11,Note_off,38,63
1,11,Note_off,67,63
1,11,Note_on,36,112
1,11,Note_on,38,112
1,11,Note_on,65,112
1,12,Note_off,36,63
1,12,Note_off,38,63
1,12,Note_on,36,112
1,12,Note_on,38,112
1,12,Note_on,40,112
1,12,Note_off,40,63
1,12,Note_off,36,63
1,12,Note_off,38,63
1,12,Note_on,41,112
1,12,Note_off,41,63
1,12,Note_on,38,112
1,12,Note_off,65,63
1,12,Note_off,38,63
1,12,Note_on,65,112
1,13,Note_off,65,63
1,13,Note_on,64,112
1,13,Note_off,64,63
1,13,Note_on,64,112
1,13,Note_on,41,112
1,13,Note_on,43,112
1,13,Note_off,41,63
1,13,Note_off,43,63
1,13,Note_on,36,112
1,13,Note_on,38,112
1,14,Note_on,40,112
1,14,Note_on,41,112
1,14,Note_off,36,63
1,14,Note_off,40,63
1,14,Note_off,38,63
1,14,Note_on,43,112
1,14,Note_on,45,112
1,14,Note_off,41,63
1,14,Note_off,45,63
1,14,Note_on,36,112
1,14,Note_off,43,63
1,14,Note_on,40,112
1,14,Note_on,41,112
1,14,Note_off,36,63
1,14,Note_off,40,63
1,14,Note_on,45,112
1,14,Note_off,41,63
1,14,Note_off,45,63
1,14,Note_on,40,112
1,14,Note_off,64,63
1,14,Note_on,43,112
1,14,Note_off,43,63
1,14,Note_on,45,112
1,14,Note_on,47,112
1,14,Note_off,40,63
1,14,Note_off,47,63
1,14,Note_off,45,63
1,14,Note_on,62,112
1,14,Note_on,43,112
1,14,Note_on,45,112
1,14,Note_off,43,63
1,14,Note_off,45,63
1,14,Note_on,38,112
1,14,Note_on,41,112
1,14,Note_on,43,112
1,14,Note_off,38,63
1,14,Note_off,41,63
1,14,Note_on,84,112
1,14,Note_off,43,63
1,15,Note_on,40,112
1,15,Note_on,41,112
1,15,Note_off,40,63
1,15,Note_on,43,112
1,15,Note_off,41,63
1,15,Note_off,43,63
1,15,Note_on,83,112
1,15,Note_off,84,63
1,15,Note_off,83,63
1,15,Note_off,62,63
1,15,Note_on,67,112
1,16,Note_on,84,112
1,16,Note_on,86,112
1,16,Note_off,67,63
1,16,Note_off,84,63
1,16,Note_on,37,112
1,16,Note_off,37,63
1,16,Note_on,39,112
1,16,Note_on,67,112
1,16,Note_on,41,112
1,16,Note_off,39,63
1,16,Note_off,41,63
1,16,Note_on,88,112
1,16,Note_off,86,63
1,16,Note_on,39,112
1,16,Note_on,42,112
1,16,Note_off,39,63
1,16,Note_off,42,63
1,16,Note_on,86,112
1,16,Note_off,88,63
1,16,Note_on,40,112
1,17,Note_on,41,112
1,17,Note_on,43,112
1,17,Note_off,40,63
1,17,Note_off,41,63
1,17,Note_off,43,63
1,17,Note_off,86,63
1,17,Note_off,67,63
1,17,Note_on,41,112
1,17,Note_off,41,63
1,17,Note_on,43,112
1,17,Note_on,45,112
1,17,Note_on,65,112
1,17,Note_off,43,63
1,17,Note_off,45,63
1,17,Note_on,40,112
1,17,Note_off,40,63
1,17,Note_on,84,112
1,17,Note_on,45,112
1,17,Note_off,65,63
1,17,Note_off,45,63
1,17,Note_on,65,112
1,17,Note_on,41,112
1,17,Note_off,41,63
1,17,Note_on,86,112
1,17,Note_off,84,63
1,17,Note_off,65,63
1,17,Note_on,38,112
1,17,Note_on,65,112
1,17,Note_on,40,112
1,17,Note_off,38,63
1,17,Note_on,88,112
1,18,Note_off,86,63
1,18,Note_off,40,63
1,18,Note_on,36,112
1,18,Note_on,38,112
1,18,Note_off,36,63
1,18,Note_on,40,112
1,18,Note_off,38,63
1,18,Note_off,40,63
1,18,Note_off,88,63
1,18,Note_on,38,112
1,18,Note_on,84,112
1,18,Note_off,38,63
1,18,Note_on,43,112
1,18,Note_off,43,63
1,18,Note_off,65,63
1,18,Note_off,84,63
1,18,Note_on,86,112
1,18,Note_on,43,112
1,18,Note_on,64,112
1,18,Note_off,43,63
1,18,Note_on,41,112
1,18,Note_off,86,63
1,18,Note_on,43,112
1,18,Note_off,41,63
1,18,Note_on,91,112
1,18,Note_off,43,63
1,19,Note_off,64,63
1,19,Note_off,91,63
1,19,Note_on,64,112
1,19,Note_on,37,112
1,19,Note_on,39,112
1,19,Note_on,89,112
1,19,Note_off,39,63
1,19,Note_on,38,112
1,19,Note_off,37,63
1,19,Note_off,64,63
1,19,Note_on,42,112
1,19,Note_off,42,63
1,19,Note_off,38,63
1,19,Note_off,89,63
1,19,Note_on,62,112
1,20,Note_on,41,112
1,20,Note_on,40,112
1,20,Note_off,40,63
1,20,Note_on,45,112
