track,start,end,event,channel,note,velocity,name
1,0,2,Note_on,1,64,63,E4
1,1,3,Note_on,1,62,63,D4
1,3,5,Note_on,1,60,63,C4
1,5,6,Note_on,1,59,63,B3
1,6,8,Note_on,1,57,63,A3
1,8,9,Note_on,1,55,63,G3
1,9,13,Note_on,1,57,63,A3
1,11,13,Note_on,1,59,63,B3
1,13,14,Note_on,1,76,63,E5
1,14,16,Note_on,1,74,63,D5
1,16,16,Note_on,1,74,63,D5
1,15,17,Note_on,1,65,63,F4
1,16,17,Note_on,1,72,63,C5
1,18,18,Note_on,1,71,63,B4
1,19,20,Note_on,1,67,63,G4
1,19,20,Note_on,1,69,63,A4
1,18,21,Note_on,1,62,63,D4
1,20,21,Note_on,1,67,63,G4
1,21,24,Note_on,1,64,63,E4
1,22,24,Note_on,1,69,63,A4
1,24,25,Note_on,1,71,63,B4
1,25,27,Note_on,1,65,63,F4
1,25,27,Note_on,1,72,63,C5
1,27,28,Note_on,1,71,63,B4
1,28,29,Note_on,1,72,63,C5
1,29,29,Note_on,1,76,63,E5
1,30,30,Note_on,1,79,63,G5
1,27,30,Note_on,1,65,63,F4
1,30,31,Note_on,1,81,63,A5
1,31,31,Note_on,1,79,63,G5
1,32,33,Note_on,1,72,63,C5
1,33,34,Note_on,1,76,63,E5
1,34,34,Note_on,1,67,63,G4
1,35,35,Note_on,1,72,63,C5
1,34,36,Note_on,1,65,63,F4
1,36,36,Note_on,1,72,63,C5
1,36,36,Note_on,1,72,63,C5
1,37,37,Note_on,1,71,63,B4
1,37,37,Note_on,1,72,63,C5
1,37,37,Note_on,1,71,63,B4
1,37,39,Note_on,1,72,63,C5
1,38,39,Note_on,1,64,63,E4
1,39,40,Note_on,1,67,63,G4
1,40,40,Note_on,1,71,63,B4
1,40,41,Note_on,1,72,63,C5
1,41,41,Note_on,1,76,63,E5
1,42,42,Note_on,1,79,63,G5
1,42,42,Note_on,1,76,63,E5
1,42,43,Note_on,1,79,63,G5
1,43,43,Note_on,1,77,63,F5
1,43,43,Note_on,1,76,63,E5
1,44,44,Note_on,1,74,63,D5
1,44,44,Note_on,1,72,63,C5
1,45,45,Note_on,1,71,63,B4
1,45,45,Note_on,1,69,63,A4
1,46,46,Note_on,1,67,63,G4
1,46,46,Note_on,1,65,63,F4
1,47,47,Note_on,1,72,63,C5
1,47,47,Note_on,1,64,63,E4
1,48,48,Note_on,1,72,63,C5
1,48,48,Note_on,1,71,63,B4
1,48,49,Note_on,1,72,63,C5
1,49,49,Note_on,1,71,63,B4
1,49,50,Note_on,1,72,63,C5
1,50,50,Note_on,1,65,63,F4
1,53,54,Note_on,1,79,63,G5
1,54,54,Note_on,1,81,63,A5
1,54,54,Note_on,1,77,63,F5
1,54,55,Note_on,1,76,63,E5
1,55,55,Note_on,1,74,63,D5
1,55,55,Note_on,1,79,63,G5
1,56,56,Note_on,1,77,63,F5
1,56,56,Note_on,1,74,63,D5
1,56,56,Note_on,1,72,63,C5
1,57,57,Note_on,1,69,63,A4
1,57,57,Note_on,1,67,63,G4
1,58,58,Note_on,1,65,63,F4
1,58,58,Note_on,1,72,63,C5
1,58,59,Note_on,1,72,63,C5
1,59,59,Note_on,1,71,63,B4
1,59,59,Note_on,1,67,63,G4
1,59,59,Note_on,1,65,63,F4
1,60,60,Note_on,1,76,63,E5
1,61,61,Note_on,1,76,63,E5
1,61,62,Note_on,1,79,63,G5
1,62,62,Note_on,1,77,63,F5
1,62,62,Note_on,1,76,63,E5
1,62,62,Note_on,1,77,63,F5
1,62,62,Note_on,1,76,63,E5
1,63,63,Note_on,1,74,63,D5
1,65,66,Note_on,1,60,63,C4
