track,start,end,event,channel,note,velocity,name
1,0.342,1.096,Note_on,1,65,63,F4
1,0.713,1.171,Note_on,1,67,63,G4
1,1.216,1.424,Note_on,1,69,63,A4
1,1.728,1.913,Note_on,1,65,63,F4
1,2.289,2.924,Note_on,1,65,63,F4
1,2.754,3.196,Note_on,1,67,63,G4
1,3.254,3.696,Note_on,1,69,63,A4
1,3.729,4.249,Note_on,1,65,63,F4
1,4.211,4.62,Note_on,1,69,63,A4
1,4.75,4.929,Note_on,1,70,63,B-4
1,5.263,5.79,Note_on,1,74,63,D5
1,6.314,6.812,Note_on,1,69,63,A4
1,6.796,6.948,Note_on,1,70,63,B-4
1,7.257,7.941,Note_on,1,72,63,C5
1,8.392,8.541,Note_on,1,72,63,C5
1,8.663,8.753,Note_on,1,74,63,D5
1,8.904,8.984,Note_on,1,72,63,C5
1,9.122,9.19,Note_on,1,70,63,B-4
1,9.347,9.558,Note_on,1,69,63,A4
1,9.802,9.924,Note_on,1,65,63,F4
1,10.331,10.49,Note_on,1,72,63,C5
1,10.514,10.641,Note_on,1,74,63,D5
1,10.685,10.825,Note_on,1,72,63,C5
1,10.971,11.043,Note_on,1,70,63,B-4
1,11.242,11.467,Note_on,1,69,63,A4
1,11.835,12.008,Note_on,1,65,63,F4
1,12.339,12.512,Note_on,1,67,63,G4
1,12.826,13.334,Note_on,1,60,63,C4
1,13.39,14.202,Note_on,1,65,63,F4
1,14.906,15.369,Note_on,1,67,63,G4
1,15.423,15.959,Note_on,1,60,63,C4
1,15.985,16.801,Note_on,1,65,63,F4
1,17.16,17.922,Note_on,1,65,63,F4
1,17.542,17.999,Note_on,1,67,63,G4
1,18.01,18.451,Note_on,1,69,63,A4
1,18.534,18.706,Note_on,1,65,63,F4
1,19.043,19.619,Note_on,1,65,63,F4
1,19.577,20.086,Note_on,1,67,63,G4
1,20.12,20.521,Note_on,1,69,63,A4
1,20.608,21.052,Note_on,1,65,63,F4
1,21.121,21.592,Note_on,1,69,63,A4
1,21.75,21.965,Note_on,1,70,63,B-4
1,22.428,22.813,Note_on,1,72,63,C5
1,23.372,23.891,Note_on,1,69,63,A4
1,23.971,24.163,Note_on,1,70,63,B-4
1,24.48,25.099,Note_on,1,72,63,C5
1,25.469,25.623,Note_on,1,72,63,C5
1,25.773,25.844,Note_on,1,74,63,D5
1,26.035,26.175,Note_on,1,72,63,C5
1,26.325,26.393,Note_on,1,70,63,B-4
1,26.668,26.818,Note_on,1,71,63,B4
1,27.205,27.362,Note_on,1,60,63,C4
1,27.831,28.04,Note_on,1,72,63,C5
1,28.092,28.233,Note_on,1,74,63,D5
1,28.433,28.519,Note_on,1,70,63,B-4
1,28.707,28.866,Note_on,1,69,63,A4
1,29.093,29.343,Note_on,1,62,63,D4
1,30.061,30.374,Note_on,1,67,63,G4
1,30.495,30.928,Note_on,1,60,63,C4
1,30.986,31.79,Note_on,1,65,63,F4
1,32.089,32.562,Note_on,1,67,63,G4
1,32.602,33.071,Note_on,1,60,63,C4
