track,start,end,event,channel,note,velocity,name
1,2,2,Note_on,1,65,63,F4
1,3,3,Note_on,1,65,63,F4
1,3,3,Note_on,1,67,63,G4
1,4,4,Note_on,1,69,63,A4
1,5,5,Note_on,1,64,63,E4
1,6,6,Note_on,1,65,63,F4
1,7,7,Note_on,1,65,63,F4
1,7,8,Note_on,1,67,63,G4
1,8,9,Note_on,1,69,63,A4
1,9,10,Note_on,1,65,63,F4
1,11,11,Note_on,1,69,63,A4
1,12,12,Note_on,1,70,63,B-4
1,13,14,Note_on,1,72,63,C5
1,15,16,Note_on,1,67,63,G4
1,16,16,Note_on,1,69,63,A4
1,16,17,Note_on,1,70,63,B-4
1,17,17,Note_on,1,72,63,C5
1,17,18,Note_on,1,71,63,B4
1,18,18,Note_on,1,72,63,C5
1,20,20,Note_on,1,72,63,C5
1,20,20,Note_on,1,74,63,D5
1,20,20,Note_on,1,72,63,C5
1,21,21,Note_on,1,69,63,A4
1,21,21,Note_on,1,65,63,F4
1,23,23,Note_on,1,71,63,B4
1,23,23,Note_on,1,72,63,C5
1,24,24,Note_on,1,74,63,D5
1,24,24,Note_on,1,72,63,C5
1,25,25,Note_on,1,70,63,B-4
1,25,26,Note_on,1,65,63,F4
1,26,27,Note_on,1,65,63,F4
1,27,28,Note_on,1,67,63,G4
1,28,29,Note_on,1,60,63,C4
1,29,31,Note_on,1,65,63,F4
1,32,32,Note_on,1,67,63,G4
1,33,33,Note_on,1,60,63,C4
1,34,35,Note_on,1,65,63,F4
