track,start,end,event,channel,note,velocity,name
1,0,1,Note_on,1,60,63,C4
1,1,2,Note_on,1,67,63,G4
1,2,2,Note_on,1,67,63,G4
1,3,3,Note_on,1,69,63,A4
1,3,4,Note_on,1,69,63,A4
1,4,5,Note_on,1,67,63,G4
1,6,6,Note_on,1,65,63,F4
1,6,7,Note_on,1,65,63,F4
1,7,7,Note_on,1,64,63,E4
1,8,8,Note_on,1,64,63,E4
1,9,9,Note_on,1,62,63,D4
1,9,10,Note_on,1,62,63,D4
1,10,11,Note_on,1,60,63,C4
1,12,12,Note_on,1,69,63,A4
1,12,12,Note_on,1,67,63,G4
1,13,13,Note_on,1,67,63,G4
1,13,13,Note_on,1,65,63,F4
1,14,14,Note_on,1,65,63,F4
1,15,15,Note_on,1,64,63,E4
1,16,16,Note_on,1,64,63,E4
1,16,17,Note_on,1,60,63,C4
1,17,18,Note_on,1,62,63,D4
1,18,19,Note_on,1,69,63,A4
1,19,19,Note_on,1,67,63,G4
1,19,20,Note_on,1,65,63,F4
1,20,20,Note_on,1,65,63,F4
1,20,21,Note_on,1,65,63,F4
1,21,21,Note_on,1,64,63,E4
1,22,22,Note_on,1,64,63,E4
1,22,24,Note_on,1,62,63,D4
1,24,24,Note_on,1,60,63,C4
1,25,25,Note_on,1,60,63,C4
1,26,26,Note_on,1,69,63,A4
1,26,26,Note_on,1,67,63,G4
1,27,27,Note_on,1,67,63,G4
1,27,28,Note_on,1,69,63,A4
1,28,28,Note_on,1,69,63,A4
1,29,30,Note_on,1,67,63,G4
1,30,31,Note_on,1,65,63,F4
1,31,31,Note_on,1,65,63,F4
1,32,32,Note_on,1,64,63,E4
1,33,33,Note_on,1,64,63,E4
1,33,34,Note_on,1,62,63,D4
1,34,35,Note_on,1,62,63,D4
