(0, <music21.midi.MidiEvent SEQUENCE_TRACK_NAME, track=1, channel=None, data=b'Piano'>)
(0, <music21.midi.MidiEvent PROGRAM_CHANGE, track=1, channel=1, data=0>)
(0, <music21.midi.MidiEvent PITCH_BEND, track=1, channel=1, parameter1=0, parameter2=64>)
(0, <music21.midi.MidiEvent PROGRAM_CHANGE, track=1, channel=1, data=0>)
(0, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=77>)
(0, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=52, velocity=63>)
(0, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=48, velocity=64>)
(1024, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(1024, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=83>)
(2048, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=52, velocity=0>)
(2048, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=48, velocity=0>)
(2048, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(2048, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=67, velocity=90>)
(2048, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=77>)
(2048, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=48, velocity=71>)
(3072, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=67, velocity=0>)
(3072, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=67, velocity=87>)
(4096, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(4096, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=48, velocity=0>)
(4096, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=67, velocity=0>)
(4096, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=69, velocity=86>)
(4096, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=73>)
(4096, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=41, velocity=66>)
(5120, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=69, velocity=0>)
(5120, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=69, velocity=83>)
(6144, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(6144, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=41, velocity=0>)
(6144, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=69, velocity=0>)
(6144, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=67, velocity=81>)
(6144, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=75>)
(6144, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=48, velocity=71>)
(8192, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=67, velocity=0>)
(8192, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(8192, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=48, velocity=0>)
(8192, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=65, velocity=80>)
(8192, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=57, velocity=70>)
(8192, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=41, velocity=68>)
(9216, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=65, velocity=0>)
(9216, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=65, velocity=85>)
(10240, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=57, velocity=0>)
(10240, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=41, velocity=0>)
(10240, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=65, velocity=0>)
(10240, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=64, velocity=82>)
(10240, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=55, velocity=69>)
(10240, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=48, velocity=76>)
(11264, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=64, velocity=0>)
(11264, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=64, velocity=84>)
(12288, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=55, velocity=0>)
(12288, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=48, velocity=0>)
(12288, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=64, velocity=0>)
(12288, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=62, velocity=81>)
(12288, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=55, velocity=71>)
(12288, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=43, velocity=69>)
(13312, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=62, velocity=0>)
(13312, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=62, velocity=83>)
(14336, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=55, velocity=0>)
(14336, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=43, velocity=0>)
(14336, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=62, velocity=0>)
(14336, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=81>)
(14336, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=52, velocity=71>)
(14336, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=48, velocity=75>)
(16384, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(16384, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=52, velocity=0>)
(16384, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=48, velocity=0>)
(16384, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=67, velocity=94>)
(16384, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=80>)
(16384, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=48, velocity=72>)
(17408, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=67, velocity=0>)
(17408, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=67, velocity=83>)
(18432, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(18432, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=48, velocity=0>)
(18432, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=67, velocity=0>)
(18432, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=65, velocity=81>)
(18432, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=57, velocity=71>)
(18432, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=41, velocity=68>)
(19456, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=65, velocity=0>)
(19456, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=65, velocity=84>)
(20480, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=57, velocity=0>)
(20480, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=41, velocity=0>)
(20480, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=65, velocity=0>)
(20480, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=64, velocity=82>)
(20480, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=55, velocity=70>)
(20480, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=43, velocity=73>)
(21504, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=64, velocity=0>)
(21504, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=64, velocity=84>)
(22528, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=55, velocity=0>)
(22528, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=43, velocity=0>)
(22528, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=64, velocity=0>)
(22528, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=62, velocity=82>)
(22528, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=55, velocity=67>)
(22528, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=43, velocity=72>)
(24576, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=62, velocity=0>)
(24576, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=55, velocity=0>)
(24576, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=43, velocity=0>)
(24576, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=67, velocity=90>)
(24576, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=76>)
(24576, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=48, velocity=73>)
(25600, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=67, velocity=0>)
(25600, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=67, velocity=84>)
(26624, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(26624, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=48, velocity=0>)
(26624, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=67, velocity=0>)
(26624, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=65, velocity=84>)
(26624, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=57, velocity=71>)
(26624, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=41, velocity=68>)
(27648, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=65, velocity=0>)
(27648, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=65, velocity=85>)
(28672, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=57, velocity=0>)
(28672, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=41, velocity=0>)
(28672, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=65, velocity=0>)
(28672, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=64, velocity=82>)
(28672, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=55, velocity=70>)
(28672, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=43, velocity=73>)
(29696, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=64, velocity=0>)
(29696, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=64, velocity=82>)
(30720, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=55, velocity=0>)
(30720, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=43, velocity=0>)
(30720, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=64, velocity=0>)
(30720, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=62, velocity=83>)
(30720, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=55, velocity=70>)
(30720, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=43, velocity=69>)
(32768, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=62, velocity=0>)
(32768, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=55, velocity=0>)
(32768, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=43, velocity=0>)
(32768, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=82>)
(32768, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=52, velocity=69>)
(32768, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=48, velocity=73>)
(33792, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(33792, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=83>)
(34816, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=52, velocity=0>)
(34816, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=48, velocity=0>)
(34816, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(34816, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=67, velocity=90>)
(34816, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=80>)
(34816, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=48, velocity=72>)
(35840, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=67, velocity=0>)
(35840, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=67, velocity=83>)
(36864, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(36864, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=48, velocity=0>)
(36864, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=67, velocity=0>)
(36864, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=69, velocity=87>)
(36864, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=69>)
(36864, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=41, velocity=68>)
(37888, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=69, velocity=0>)
(37888, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=69, velocity=81>)
(38912, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(38912, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=41, velocity=0>)
(38912, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=69, velocity=0>)
(38912, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=67, velocity=79>)
(38912, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=60, velocity=72>)
(38912, <music21.midi.MidiEvent NOTE_ON, track=1, channel=1, pitch=48, velocity=73>)
(40960, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=67, velocity=0>)
(40960, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=60, velocity=0>)
(40960, <music21.midi.MidiEvent NOTE_OFF, track=1, channel=1, pitch=48, velocity=0>)
