(0, <music21.midi.MidiEvent SEQUENCE_TRACK_NAME, track=2, channel=None, data=b'Piano, Piano, Piano'>)
(0, <music21.midi.MidiEvent PROGRAM_CHANGE, track=2, channel=1, data=0>)
(0, <music21.midi.MidiEvent PITCH_BEND, track=2, channel=1, parameter1=0, parameter2=64>)
(0, <music21.midi.MidiEvent PROGRAM_CHANGE, track=2, channel=1, data=0>)
(0, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=48, velocity=64>)
(0, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=52, velocity=63>)
(2048, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=48, velocity=0>)
(2048, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=52, velocity=0>)
(2048, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=48, velocity=71>)
(2048, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=60, velocity=77>)
(4096, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=48, velocity=0>)
(4096, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=60, velocity=0>)
(4096, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=41, velocity=66>)
(5120, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=69, velocity=83>)
(6144, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=41, velocity=0>)
(6144, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=69, velocity=0>)
(6144, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=48, velocity=71>)
(8192, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=48, velocity=0>)
(8192, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=41, velocity=68>)
(10240, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=41, velocity=0>)
(10240, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=48, velocity=76>)
